Title,Year,Liters Pure Alcohol Consumed,NumericValue,Min,Max
Azerbaijan,2008,0.6 [0.3 - 1.0],0.568046097,0.251125335,0.96442283
Portugal,2012,10.0 [8.4 - 11.7],10.04,8.40102284,11.69269293
Tajikistan,2020,0.8 [0.3 - 1.2],0.760516197,0.340246081,1.209908383
Netherlands (Kingdom of the),2008,9.4 [7.7 - 11.0],9.35,7.660836521,10.9634657
Portugal,2018,10.6 [9.0 - 12.2],10.55359729,8.961006891,12.15848808
Poland,2022,10.8 [9.1 - 12.3],10.75666667,9.061916085,12.32583189
Tajikistan,2014,0.9 [0.4 - 1.3],0.851638385,0.40887309,1.325733264
Latvia,2005,9.7 [8.1 - 11.3],9.71,8.105076595,11.27061964
Kazakhstan,2021,4.5 [3.4 - 5.5],4.503333333,3.429405631,5.500513318
Azerbaijan,2018,0.9 [0.4 - 1.4],0.896666667,0.438102453,1.376233417
Malta,2016,7.8 [6.3 - 9.2],7.770016712,6.349974089,9.161063972
Israel,2003,2.2 [1.4 - 2.9],2.190967027,1.427451712,2.912009821
Andorra,2021,10.4 [8.8 - 12.0],10.42666667,8.773444549,12.04643769
Denmark,2012,9.6 [8.1 - 11.2],9.636666667,8.144435525,11.18800343
North Macedonia,2001,4.0 [3.0 - 5.0],3.968098367,2.985706008,4.983068452
Lithuania,2013,14.9 [13.1 - 16.8],14.91333333,13.05196327,16.83738856
Romania,2001,11.4 [9.8 - 13.1],11.4,9.756798832,13.0822654
Bosnia and Herzegovina,2003,3.7 [2.8 - 4.6],3.700525105,2.75213081,4.624584695
Albania,2009,5.1 [4.0 - 6.2],5.13438169,3.984590565,6.220551045
Sweden,2000,6.5 [5.2 - 7.8],6.526666667,5.230770815,7.84682154
Kyrgyzstan,2003,6.0 [4.8 - 7.2],5.98,4.819889155,7.170816847
Kazakhstan,2005,3.5 [2.6 - 4.5],3.501077539,2.591908191,4.525568938
Turkmenistan,2001,2.8 [1.9 - 3.5],2.755912844,1.903105938,3.546044819
Belarus,2017,9.6 [8.0 - 11.1],9.6,8.023248265,11.0618157
Sweden,2015,7.2 [5.8 - 8.5],7.16,5.797147535,8.460955656
Bulgaria,2005,9.8 [8.2 - 11.4],9.794668101,8.203723,11.38546893
Türkiye,2002,1.5 [0.9 - 2.0],1.462298818,0.863380155,2.031388309
Albania,2016,4.3 [3.3 - 5.4],4.305091869,3.284676388,5.404785817
Hungary,2002,13.2 [11.5 - 15.1],13.23333333,11.47658643,15.11738515
Georgia,2017,7.3 [5.9 - 8.6],7.264591379,5.899937083,8.602203452
Poland,2010,10.2 [8.5 - 11.8],10.15333333,8.533511852,11.77414891
Cyprus,2008,6.2 [5.0 - 7.5],6.223098722,4.950825247,7.536214348
Portugal,2000,12.6 [10.9 - 14.4],12.63,10.86237471,14.38730826
Estonia,2022,12.1 [10.2 - 13.8],12.05666667,10.1984948,13.79582662
Armenia,2012,3.9 [2.9 - 4.9],3.912824701,2.887711732,4.858604776
Belarus,2014,10.9 [9.3 - 12.5],10.92666667,9.275213681,12.54657175
Estonia,2001,10.4 [8.9 - 12.0],10.43,8.872575539,11.9768438
Cyprus,2020,4.9 [3.8 - 6.0],4.874251822,3.76478755,5.997169648
Germany,2018,11.0 [9.3 - 12.6],10.99666667,9.342432088,12.5777737
Spain,2004,11.4 [9.8 - 13.2],11.43,9.836244585,13.18778023
Kazakhstan,2006,3.7 [2.8 - 4.7],3.71801535,2.829676593,4.73018623
Austria,2002,12.3 [10.3 - 14.1],12.27666667,10.33419895,14.12306931
Iceland,2015,7.4 [6.0 - 8.8],7.38,6.036096309,8.844041377
Bosnia and Herzegovina,2021,5.2 [4.0 - 6.3],5.197321166,4.02872393,6.341441511
Luxembourg,2003,12.8 [11.1 - 14.4],12.76166667,11.09451075,14.38505262
Andorra,2002,12.5 [10.6 - 14.3],12.50333333,10.62662635,14.25299923
Lithuania,2019,10.6 [9.0 - 12.3],10.62333333,9.018647635,12.28544502
Ireland,2008,12.2 [10.4 - 14.0],12.23333333,10.44326044,14.01720217
Finland,2008,10.2 [8.7 - 11.8],10.22333333,8.740399451,11.82235919
Greece,2006,8.3 [6.9 - 9.8],8.307137159,6.902165905,9.788587755
France,2002,13.8 [12.0 - 15.8],13.84,12.01214834,15.76962402
Portugal,2009,11.4 [9.7 - 13.1],11.41333333,9.716157146,13.07074282
Turkmenistan,2002,2.8 [2.0 - 3.6],2.821975932,1.973762892,3.609084509
Serbia,2022,7.8 [6.4 - 9.3],7.824432176,6.391292292,9.307944806
Slovenia,2000,11.4 [9.7 - 13.2],11.42,9.673390547,13.20196763
Tajikistan,2000,0.8 [0.4 - 1.3],0.823758864,0.363082036,1.274426334
Netherlands (Kingdom of the),2005,9.5 [8.0 - 11.1],9.546666667,7.999223932,11.09730842
Slovakia,2012,10.1 [8.5 - 11.6],10.12333333,8.51207744,11.59503596
Serbia,2005,No data,,,
Georgia,2010,6.9 [5.5 - 8.1],6.853901788,5.503343333,8.146422594
Ukraine,2006,7.5 [5.9 - 8.7],7.46,5.943289412,8.743584075
North Macedonia,2019,4.4 [3.4 - 5.5],4.384729738,3.415616593,5.467795598
Israel,2019,2.5 [1.7 - 3.3],2.508269687,1.689570562,3.309014848
Greece,2008,8.5 [7.0 - 10.0],8.456899836,6.959583875,9.991952369
Hungary,2017,11.2 [9.5 - 12.8],11.17666667,9.5409432,12.75431229
Tajikistan,2011,0.7 [0.3 - 1.1],0.711299998,0.280143104,1.100938858
Türkiye,2015,1.4 [0.8 - 2.0],1.396666667,0.82210302,1.960617031
United Kingdom of Great Britain and Northern Ireland,2012,9.7 [8.1 - 11.3],9.666666667,8.082511893,11.33299132
Israel,2017,2.6 [1.8 - 3.4],2.556671291,1.769212972,3.38554044
Slovakia,2019,10.2 [8.6 - 11.8],10.17,8.572313532,11.77248937
Ukraine,2000,6.8 [5.4 - 8.1],6.795881072,5.417918582,8.119414607
Ukraine,2016,5.7 [4.5 - 6.9],5.686666667,4.475368162,6.860450413
Spain,2012,8.6 [7.1 - 10.1],8.636666667,7.104345014,10.12608122
Turkmenistan,2016,3.0 [2.1 - 3.9],2.978113391,2.079756983,3.86519655
Greece,2014,7.2 [5.8 - 8.5],7.161759529,5.797728116,8.483118666
Sweden,2021,7.5 [6.2 - 9.0],7.543333333,6.217700642,8.975514837
Romania,2009,11.1 [9.5 - 12.7],11.13666667,9.506151925,12.71240804
Spain,2017,10.7 [9.2 - 12.3],10.72666667,9.162759475,12.27381514
Ukraine,2021,4.6 [3.5 - 5.6],4.552222758,3.493353468,5.605037403
Germany,2001,12.6 [10.8 - 14.5],12.56,10.76874665,14.47489026
Netherlands (Kingdom of the),2020,8.1 [6.7 - 9.3],8.066666667,6.738820799,9.336021469
Romania,2020,11.0 [9.3 - 12.6],10.96666667,9.335964183,12.64913527
Slovakia,2005,10.4 [8.7 - 11.9],10.38,8.737034336,11.92159742
Italy,2012,7.3 [5.9 - 8.6],7.27,5.949084842,8.625768143
Ukraine,2010,8.5 [7.1 - 10.0],8.533333333,7.09140394,10.00349201
Kazakhstan,2020,3.9 [2.9 - 4.8],3.886666667,2.86134282,4.842176288
Tajikistan,2002,0.8 [0.4 - 1.2],0.795070167,0.353798831,1.246998277
Croatia,2022,10.2 [8.6 - 11.8],10.22497286,8.620554777,11.8458666
Latvia,2015,10.9 [9.3 - 12.6],10.9,9.283501529,12.58534386
Sweden,2009,7.2 [5.9 - 8.6],7.236666667,5.918466046,8.622945488
Austria,2005,12.3 [10.5 - 14.1],12.30333333,10.45434574,14.10343906
Greece,2022,6.2 [5.0 - 7.4],6.236011398,5.045419039,7.435265261
United Kingdom of Great Britain and Northern Ireland,2000,11.2 [9.4 - 12.9],11.17666667,9.429241153,12.85151038
Slovakia,2006,10.6 [9.0 - 12.2],10.57,8.98669818,12.16554303
Montenegro,2001,10.3 [8.6 - 11.8],10.2666584,8.64068742,11.81372736
Poland,2014,10.6 [9.0 - 12.3],10.58333333,8.964639576,12.28938105
Sweden,2014,7.2 [5.9 - 8.5],7.216666667,5.855507132,8.547082025
Republic of Moldova,2010,6.9 [5.7 - 8.2],6.892570059,5.650895247,8.22268742
Republic of Moldova,2007,7.4 [6.0 - 8.8],7.43444013,6.04048111,8.824631288
Belgium,2011,10.2 [8.6 - 11.7],10.17,8.55811327,11.70653032
Italy,2007,7.1 [5.7 - 8.3],7.093333333,5.739133877,8.331723584
Montenegro,2016,8.2 [6.8 - 9.7],8.214984375,6.841416427,9.676747741
Latvia,2017,12.4 [10.7 - 14.1],12.36666667,10.6506275,14.13359855
Russian Federation,2000,10.2 [8.8 - 11.7],10.23333333,8.750047416,11.74679168
Malta,2010,6.5 [5.2 - 7.8],6.488163705,5.226888831,7.786516388
Ireland,2001,14.3 [12.4 - 16.2],14.3,12.38008071,16.18822737
