Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
936195,SA_0000001751,COUNTRY,MWI,AFR,Africa,YEAR,2016,SEX,SEX_BTSX,,,,,,,24.9 [10.0 - 40.8],24.85950628,10.038124333,40.814935064,,2024-06-21T09:04:27Z,2016,2016-01-01,2016-12-31
936385,SA_0000001751,COUNTRY,LAO,WPR,Western Pacific,YEAR,2016,SEX,SEX_MLE,,,,,,,58.4 [39.7 - 77.7],58.426420844,39.658572542,77.65450051,,2024-06-21T09:04:27Z,2016,2016-01-01,2016-12-31
936577,SA_0000001751,COUNTRY,RWA,AFR,Africa,YEAR,2013,SEX,SEX_FMLE,,,,,,,4.9 [1.0 - 9.6],4.880138776,0.998823546,9.579881427,,2024-06-21T09:04:27Z,2013,2013-01-01,2013-12-31
926,SA_0000001751,COUNTRY,IRL,EUR,Europe,YEAR,2006,SEX,SEX_BTSX,,,,,,,37.0 [28.5 - 46.4],37.024092302,28.486082582,46.353342028,,2024-06-21T09:04:27Z,2006,2006-01-01,2006-12-31
1245,SA_0000001751,COUNTRY,GTM,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,10.2 [3.3 - 17.5],10.239396843,3.272656379,17.530893044,,2024-06-21T09:04:27Z,2019,2019-01-01,2019-12-31
3268,SA_0000001751,COUNTRY,KNA,AMR,Americas,YEAR,2014,SEX,SEX_FMLE,,,,,,,12.4 [5.3 - 20.2],12.424427803,5.332883771,20.17247491,,2024-06-21T09:04:27Z,2014,2014-01-01,2014-12-31
3409,SA_0000001751,COUNTRY,GHA,AFR,Africa,YEAR,2013,SEX,SEX_MLE,,,,,,,32.5 [14.6 - 50.5],32.519800238,14.625223784,50.453670621,,2024-06-21T09:04:27Z,2013,2013-01-01,2013-12-31
3439,SA_0000001751,COUNTRY,LTU,EUR,Europe,YEAR,2000,SEX,SEX_MLE,,,,,,,49.9 [36.3 - 63.4],49.943343434,36.274047413,63.435284033,,2024-06-21T09:04:27Z,2000,2000-01-01,2000-12-31
4603,SA_0000001751,COUNTRY,DNK,EUR,Europe,YEAR,2003,SEX,SEX_BTSX,,,,,,,31.8 [23.0 - 41.0],31.841020463,23.022543806,40.968078659,,2024-06-21T09:04:27Z,2003,2003-01-01,2003-12-31
4990,SA_0000001751,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2006,SEX,SEX_MLE,,,,,,,1.4 [0.0 - 4.4],1.411602092,0,4.362697561,,2024-06-21T09:04:27Z,2006,2006-01-01,2006-12-31
5888,SA_0000001751,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2013,SEX,SEX_FMLE,,,,,,,0.6 [0.0 - 10.0],0.583343325,0,10.018846519,,2024-06-21T09:04:27Z,2013,2013-01-01,2013-12-31
6215,SA_0000001751,COUNTRY,KHM,WPR,Western Pacific,YEAR,2004,SEX,SEX_BTSX,,,,,,,14.2 [4.1 - 25.4],14.186223252,4.141426794,25.37769258,,2024-06-21T09:04:27Z,2004,2004-01-01,2004-12-31
6522,SA_0000001751,COUNTRY,MLI,AFR,Africa,YEAR,2018,SEX,SEX_FMLE,,,,,,,29.6 [15.7 - 48.6],29.595467089,15.673410061,48.640446257,,2024-06-21T09:04:27Z,2018,2018-01-01,2018-12-31
6674,SA_0000001751,COUNTRY,KNA,AMR,Americas,YEAR,2016,SEX,SEX_BTSX,,,,,,,24.8 [10.6 - 39.6],24.81178355,10.597128911,39.620114745,,2024-06-21T09:04:27Z,2016,2016-01-01,2016-12-31
7777,SA_0000001751,COUNTRY,CPV,AFR,Africa,YEAR,2009,SEX,SEX_FMLE,,,,,,,11.3 [6.4 - 16.4],11.25913327,6.425348152,16.378028054,,2024-06-21T09:04:27Z,2009,2009-01-01,2009-12-31
7805,SA_0000001751,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2015,SEX,SEX_FMLE,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2024-06-21T09:04:27Z,2015,2015-01-01,2015-12-31
8764,SA_0000001751,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_MLE,,,,,,,39.7 [15.9 - 70.5],39.698302938,15.866215889,70.537931077,,2024-06-21T09:04:27Z,2003,2003-01-01,2003-12-31
11347,SA_0000001751,COUNTRY,DOM,AMR,Americas,YEAR,2020,SEX,SEX_FMLE,,,,,,,13.3 [8.4 - 19.3],13.315943382,8.412002333,19.302518462,Data is for 2020 only; it is not a three-year average.,2024-06-21T09:04:27Z,2020,2020-01-01,2020-12-31
12566,SA_0000001751,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2019,SEX,SEX_MLE,,,,,,,21.5 [10.3 - 34.0],21.539172908,10.337592851,34.041956085,,2024-06-21T09:04:27Z,2019,2019-01-01,2019-12-31
13474,SA_0000001751,COUNTRY,PHL,WPR,Western Pacific,YEAR,2002,SEX,SEX_FMLE,,,,,,,14.0 [8.4 - 20.1],13.991190574,8.436161275,20.13486895,,2024-06-21T09:04:27Z,2002,2002-01-01,2002-12-31
13593,SA_0000001751,COUNTRY,SLB,WPR,Western Pacific,YEAR,2019,SEX,SEX_BTSX,,,,,,,12.9 [3.5 - 23.5],12.903342918,3.488036575,23.548564078,,2024-06-21T09:04:27Z,2019,2019-01-01,2019-12-31
13938,SA_0000001751,COUNTRY,CRI,AMR,Americas,YEAR,2015,SEX,SEX_FMLE,,,,,,,9.4 [4.8 - 14.5],9.449685875,4.813474923,14.543130188,,2024-06-21T09:04:27Z,2015,2015-01-01,2015-12-31
15053,SA_0000001751,COUNTRY,NOR,EUR,Europe,YEAR,2020,SEX,SEX_BTSX,,,,,,,20.6 [13.9 - 27.9],20.599839831,13.856940177,27.871349546,Data is for 2020 only; it is not a three-year average.,2024-06-21T09:04:27Z,2020,2020-01-01,2020-12-31
15164,SA_0000001751,COUNTRY,LVA,EUR,Europe,YEAR,2002,SEX,SEX_FMLE,,,,,,,14.4 [9.0 - 20.4],14.440729597,8.962218961,20.437763599,,2024-06-21T09:04:27Z,2002,2002-01-01,2002-12-31
15951,SA_0000001751,COUNTRY,WSM,WPR,Western Pacific,YEAR,2001,SEX,SEX_FMLE,,,,,,,13.3 [6.4 - 21.3],13.324373757,6.357344063,21.30259299,,2024-06-21T09:04:27Z,2001,2001-01-01,2001-12-31
16706,SA_0000001751,COUNTRY,DNK,EUR,Europe,YEAR,2009,SEX,SEX_MLE,,,,,,,41.7 [30.1 - 53.7],41.710742667,30.08776531,53.719865039,,2024-06-21T09:04:27Z,2009,2009-01-01,2009-12-31
16714,SA_0000001751,COUNTRY,MYS,WPR,Western Pacific,YEAR,2007,SEX,SEX_BTSX,,,,,,,7.8 [0.0 - 19.9],7.757232849,0,19.884126269,,2024-06-21T09:04:27Z,2007,2007-01-01,2007-12-31
17186,SA_0000001751,COUNTRY,CHN,WPR,Western Pacific,YEAR,2003,SEX,SEX_FMLE,,,,,,,6.6 [3.1 - 10.7],6.643595511,3.078139148,10.717115304,,2024-06-21T09:04:27Z,2003,2003-01-01,2003-12-31
18703,SA_0000001751,COUNTRY,GNQ,AFR,Africa,YEAR,2005,SEX,SEX_BTSX,,,,,,,32.2 [23.0 - 42.9],32.237305609,23.005028916,42.877097662,,2024-06-21T09:04:27Z,2005,2005-01-01,2005-12-31
18964,SA_0000001751,COUNTRY,KHM,WPR,Western Pacific,YEAR,2012,SEX,SEX_BTSX,,,,,,,26.6 [13.4 - 39.6],26.626789684,13.404627654,39.615769474,,2024-06-21T09:04:27Z,2012,2012-01-01,2012-12-31
19519,SA_0000001751,COUNTRY,HRV,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,,,,,,,33.9 [21.5 - 47.0],33.889208653,21.48597149,46.994858642,,2024-06-21T09:04:27Z,2000,2000-01-01,2000-12-31
19694,SA_0000001751,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_FMLE,,,,,,,20.9 [8.2 - 38.6],20.890133095,8.198142749,38.611312946,,2024-06-21T09:04:27Z,2016,2016-01-01,2016-12-31
19867,SA_0000001751,COUNTRY,MNG,WPR,Western Pacific,YEAR,2020,SEX,SEX_FMLE,,,,,,,15.1 [10.0 - 20.6],15.10140582,9.993084412,20.56574757,Data is for 2020 only; it is not a three-year average.,2024-06-21T09:04:27Z,2020,2020-01-01,2020-12-31
20702,SA_0000001751,COUNTRY,MDA,EUR,Europe,YEAR,2015,SEX,SEX_BTSX,,,,,,,35.4 [22.9 - 47.8],35.395196679,22.948232704,47.814305675,,2024-06-21T09:04:27Z,2015,2015-01-01,2015-12-31
20753,SA_0000001751,COUNTRY,SVN,EUR,Europe,YEAR,2003,SEX,SEX_FMLE,,,,,,,16.9 [12.1 - 21.9],16.862385179,12.132194481,21.912510374,,2024-06-21T09:04:27Z,2003,2003-01-01,2003-12-31
21204,SA_0000001751,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2012,SEX,SEX_FMLE,,,,,,,0.2 [0.0 - 3.2],0.172027999,0,3.2070607,,2024-06-21T09:04:27Z,2012,2012-01-01,2012-12-31
22490,SA_0000001751,COUNTRY,NIU,WPR,Western Pacific,YEAR,2019,SEX,SEX_BTSX,,,,,,,51.3 [35.9 - 68.0],51.287883998,35.853737721,67.962439421,,2024-06-21T09:04:27Z,2019,2019-01-01,2019-12-31
22827,SA_0000001751,COUNTRY,AZE,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,35.6 [9.8 - 67.4],35.599031983,9.841035904,67.448627592,,2024-06-21T09:04:27Z,2019,2019-01-01,2019-12-31
23725,SA_0000001751,COUNTRY,BOL,AMR,Americas,YEAR,2018,SEX,SEX_MLE,,,,,,,19.4 [9.8 - 29.5],19.442808058,9.776318079,29.525172052,,2024-06-21T09:04:27Z,2018,2018-01-01,2018-12-31
24134,SA_0000001751,COUNTRY,KNA,AMR,Americas,YEAR,2004,SEX,SEX_BTSX,,,,,,,28.7 [13.5 - 44.6],28.688807816,13.453621157,44.593775486,,2024-06-21T09:04:27Z,2004,2004-01-01,2004-12-31
