Title,Year,% of Pop. Abstainers,NumericValue,Min,Max
Ireland,2012,12.4 [11.7 - 13.1],12.3587653,11.6671656,13.0503649
Slovakia,2004,36.7 [34.8 - 38.6],36.6851135,34.7526248,38.6176022
Kazakhstan,2014,75.8 [71.6 - 80.0],75.7637951,71.5510475,79.9765427
Albania,2018,36.9 [34.8 - 39.1],36.9493295,34.7751464,39.1235126
Sweden,2003,31.1 [29.6 - 32.6],31.0877838,29.5540528,32.6215147
Bulgaria,2016,34.2 [32.3 - 36.0],34.1606062,32.2988215,36.022391
Bosnia and Herzegovina,2000,71.5 [67.5 - 75.5],71.5020458,67.4927981,75.5112935
Greece,2015,28.0 [26.5 - 29.5],27.9787988,26.4943223,29.4632753
Latvia,2002,35.3 [32.7 - 38.0],35.3300299,32.6661593,37.9939005
Cyprus,2001,37.9 [35.7 - 40.1],37.889358,35.6547158,40.1240001
Slovenia,2020,37.1 [35.2 - 39.0],37.0950029,35.1634532,39.0265525
Malta,2015,23.4 [22.2 - 24.6],23.3967652,22.1712645,24.6222659
North Macedonia,2019,57.1 [53.4 - 60.9],57.1403154,53.4051591,60.8754717
Spain,2000,28.5 [26.9 - 30.2],28.5386842,26.8541872,30.2231812
Finland,2019,14.7 [13.8 - 15.5],14.656911,13.8153772,15.4984448
Azerbaijan,2017,91.7 [88.3 - 95.0],91.6519702,88.3056899,94.9982505
Albania,2007,60.3 [58.0 - 62.6],60.3186179,57.9875892,62.6496465
Norway,2016,30.9 [29.0 - 32.7],30.8536494,28.9687625,32.7385363
Cyprus,2018,41.3 [38.7 - 43.9],41.3028007,38.7436726,43.8619289
Russian Federation,2020,41.7 [39.5 - 43.9],41.6906346,39.5273173,43.8539519
Türkiye,2007,90.8 [89.2 - 92.4],90.7704416,89.1559338,92.3849493
Portugal,2014,29.4 [27.9 - 30.9],29.3892541,27.8678779,30.9106302
Poland,2018,18.3 [17.3 - 19.3],18.2777776,17.2922962,19.263259
Tajikistan,2009,84.2 [80.2 - 88.1],84.1531488,80.1754081,88.1308894
Azerbaijan,2007,85.6 [81.9 - 89.4],85.6308908,81.8808239,89.3809577
Switzerland,2019,19.6 [18.2 - 21.0],19.6144825,18.2363333,20.9926317
Slovakia,2017,35.8 [34.0 - 37.6],35.8150502,34.0466834,37.5834171
North Macedonia,2018,68.8 [64.8 - 72.7],68.7714377,64.8450394,72.6978359
Kyrgyzstan,2010,72.4 [67.9 - 76.8],72.3620302,67.9177963,76.8062641
Luxembourg,2010,21.0 [19.1 - 22.9],20.9660847,19.0675718,22.8645976
Cyprus,2018,31.7 [29.6 - 33.7],31.6756559,29.6087301,33.7425818
Georgia,2008,34.2 [31.6 - 36.8],34.1811153,31.5999508,36.7622798
Italy,2005,16.8 [15.8 - 17.7],16.7519801,15.8101023,17.693858
Israel,2017,49.9 [46.6 - 53.2],49.8823797,46.61459,53.1501694
Ukraine,2016,42.3 [39.5 - 45.0],42.2808719,39.5226415,45.0391024
Switzerland,2007,26.1 [24.7 - 27.4],26.0651593,24.7051004,27.4252182
North Macedonia,2000,54.5 [50.9 - 58.1],54.4659816,50.8584302,58.0735329
Israel,2006,52.0 [48.7 - 55.3],51.9888744,48.7129072,55.2648416
Malta,2012,33.0 [31.3 - 34.7],33.0171133,31.3063665,34.7278601
Azerbaijan,2005,86.3 [82.8 - 89.8],86.3157222,82.8428096,89.7886347
United Kingdom of Great Britain and Northern Ireland,2018,28.4 [27.0 - 29.8],28.415424,26.9853269,29.8455212
Slovenia,2001,27.8 [26.4 - 29.3],27.8444189,26.3899337,29.2989041
Cyprus,2018,22.0 [20.4 - 23.6],21.9928442,20.4123462,23.5733423
Cyprus,2004,36.3 [34.1 - 38.6],36.3410756,34.1111107,38.5710405
Uzbekistan,2019,91.2 [88.0 - 94.4],91.190507,87.9790593,94.4019547
Croatia,2009,30.7 [29.2 - 32.3],30.7345569,29.1774258,32.2916879
Belarus,2016,39.1 [36.5 - 41.7],39.1404552,36.5457663,41.7351441
Lithuania,2015,30.3 [28.5 - 32.2],30.3354852,28.4674556,32.2035149
Turkmenistan,2010,84.4 [80.6 - 88.1],84.3637494,80.6097627,88.1177362
Sweden,2012,15.5 [14.6 - 16.3],15.4570564,14.60796,16.3061528
Croatia,2015,40.5 [38.5 - 42.5],40.4735787,38.4852975,42.4618598
Bulgaria,2017,23.8 [22.4 - 25.2],23.7992854,22.4218443,25.1767265
Netherlands (Kingdom of the),2009,28.9 [27.5 - 30.3],28.9131091,27.4980602,30.3281581
Bulgaria,2013,44.9 [42.5 - 47.3],44.9087305,42.5029545,47.3145065
Albania,2011,48.6 [46.4 - 50.9],48.6357985,46.409966,50.861631
Czechia,2012,17.5 [16.5 - 18.4],17.4520561,16.4772257,18.4268866
Switzerland,2012,13.4 [12.5 - 14.2],13.3545775,12.5336613,14.1754938
Denmark,2014,22.3 [21.1 - 23.5],22.3043223,21.1447628,23.4638818
Estonia,2015,15.8 [14.7 - 16.9],15.7905605,14.6688926,16.9122285
United Kingdom of Great Britain and Northern Ireland,2017,21.8 [20.7 - 22.9],21.8156537,20.7030282,22.9282792
Poland,2008,27.3 [25.8 - 28.7],27.2609415,25.8146426,28.7072404
Bulgaria,2016,43.8 [41.5 - 46.2],43.8308398,41.5053925,46.1562871
Greece,2001,25.5 [24.0 - 27.0],25.4750795,23.9943779,26.9557811
Republic of Moldova,2003,22.8 [21.0 - 24.7],22.8213348,20.9817787,24.6608909
Georgia,2018,44.1 [41.1 - 47.1],44.1020504,41.1260489,47.078052
Malta,2013,24.5 [23.1 - 25.8],24.4525778,23.1492318,25.7559238
Georgia,2017,33.5 [31.2 - 35.9],33.5292794,31.1933882,35.8651705
Türkiye,2005,95.0 [93.9 - 96.2],95.0338425,93.8615046,96.2061805
Lithuania,2006,24.3 [22.6 - 25.9],24.2556825,22.637364,25.874001
Estonia,2012,23.0 [21.5 - 24.6],23.0316919,21.5047594,24.5586244
Switzerland,2015,25.8 [24.1 - 27.4],25.795432,24.1458015,27.4450625
Czechia,2014,25.2 [23.9 - 26.6],25.2315763,23.885839,26.5773136
Czechia,2004,17.6 [16.6 - 18.6],17.6002983,16.5601957,18.640401
Iceland,2015,21.3 [20.1 - 22.5],21.2894393,20.1050634,22.4738152
Austria,2012,20.5 [19.4 - 21.6],20.4866954,19.4175082,21.5558827
Finland,2012,28.1 [26.7 - 29.5],28.0657824,26.656019,29.4755458
Georgia,2010,33.7 [31.1 - 36.2],33.6531682,31.1039441,36.2023922
Malta,2005,18.4 [17.3 - 19.6],18.4484738,17.2764325,19.6205151
Belgium,2016,29.3 [27.9 - 30.8],29.3397121,27.8580449,30.8213793
Türkiye,2006,90.9 [89.3 - 92.5],90.8633321,89.2507007,92.4759635
Ireland,2019,16.6 [15.1 - 18.0],16.5547908,15.1104786,17.999103
Russian Federation,2015,51.6 [49.3 - 53.9],51.6103777,49.3254383,53.8953171
Belarus,2018,31.2 [29.0 - 33.4],31.2135342,28.9882977,33.4387707
Latvia,2002,28.4 [26.2 - 30.6],28.4145626,26.2303899,30.5987352
Uzbekistan,2002,90.7 [87.5 - 93.9],90.7215504,87.5443243,93.8987765
France,2002,28.1 [26.5 - 29.7],28.0693566,26.4542376,29.6844757
Norway,2002,16.8 [15.9 - 17.8],16.8448233,15.8913697,17.7982769
Georgia,2019,52.6 [48.9 - 56.2],52.5593531,48.9299822,56.188724
Ukraine,2017,43.2 [40.3 - 46.0],43.159631,40.3411545,45.9781074
Armenia,2001,63.3 [59.1 - 67.4],63.2800032,59.1165143,67.4434921
France,2015,15.3 [14.5 - 16.1],15.3057215,14.4747581,16.1366849
Sweden,2006,15.7 [14.9 - 16.6],15.7250735,14.8721352,16.5780118
Bulgaria,2003,25.3 [23.6 - 26.9],25.2656964,23.6245378,26.906855
Germany,2002,21.1 [19.9 - 22.3],21.1371206,19.9350174,22.3392238
Slovenia,2003,27.8 [26.3 - 29.2],27.7657176,26.3376999,29.1937354
Türkiye,2011,90.0 [88.3 - 91.7],89.9942632,88.2717283,91.7167982
Kazakhstan,2017,75.8 [71.5 - 80.0],75.750899,71.5405564,79.9612416
Andorra,2017,16.6 [15.5 - 17.6],16.5789689,15.518345,17.6395928
Finland,2002,21.9 [20.7 - 23.1],21.9074564,20.7283414,23.0865714
Slovenia,2013,37.7 [35.8 - 39.5],37.6537777,35.811682,39.4958734
Austria,2009,27.8 [26.4 - 29.1],27.7730747,26.4014048,29.1447446
Turkmenistan,2020,76.9 [72.3 - 81.5],76.9044546,72.3147765,81.4941328
Romania,2016,31.5 [29.1 - 33.8],31.4839588,29.1306218,33.8372958
Kyrgyzstan,2019,81.8 [78.1 - 85.6],81.8409079,78.1073068,85.5745091
Croatia,2013,39.7 [37.8 - 41.7],39.7128701,37.7735196,41.6522207
Tajikistan,2016,83.3 [79.1 - 87.4],83.2785611,79.1351226,87.4219995
Hungary,2009,36.3 [34.5 - 38.1],36.2877948,34.4986765,38.076913
Azerbaijan,2020,90.7 [87.1 - 94.2],90.6885199,87.1358558,94.241184
Netherlands (Kingdom of the),2016,22.9 [21.6 - 24.1],22.8693422,21.6243069,24.1143775
Andorra,2010,21.3 [19.9 - 22.6],21.2533226,19.927927,22.5787181
Sweden,2005,31.4 [29.9 - 32.9],31.4189736,29.8925881,32.9453591
Iceland,2014,15.4 [14.5 - 16.3],15.3758576,14.4749685,16.2767466
Slovenia,2003,19.2 [18.2 - 20.3],19.2212051,18.169239,20.2731712
Iceland,2001,31.7 [30.0 - 33.3],31.6683751,29.9904464,33.3463037
Croatia,2008,21.1 [20.0 - 22.2],21.0941076,19.9514257,22.2367896
Bulgaria,2016,23.7 [22.3 - 25.1],23.6828796,22.3040939,25.0616654
Romania,2005,32.4 [29.4 - 35.5],32.4141224,29.3674229,35.4608218
Austria,2002,21.2 [20.1 - 22.3],21.1795718,20.0623305,22.296813
Spain,2017,28.0 [26.7 - 29.4],28.0498005,26.7010461,29.3985549
Kazakhstan,2011,67.9 [63.6 - 72.2],67.9045434,63.5749856,72.2341012
Greece,2006,24.6 [23.3 - 25.9],24.6005329,23.3156234,25.8854424
United Kingdom of Great Britain and Northern Ireland,2012,29.4 [28.0 - 30.8],29.4166908,27.9912453,30.8421363
Bosnia and Herzegovina,2020,45.1 [41.5 - 48.7],45.1084535,41.5455141,48.6713929
Estonia,2012,15.7 [14.6 - 16.9],15.7276572,14.5948295,16.8604849
Sweden,2017,22.8 [21.5 - 24.0],22.7749667,21.5405939,24.0093395
Finland,2005,27.9 [26.5 - 29.3],27.9083371,26.4917393,29.3249349
Latvia,2000,28.6 [26.3 - 30.8],28.5755624,26.3412233,30.8099015
Spain,2011,15.1 [14.3 - 15.9],15.0968362,14.2681617,15.9255107
Norway,2000,25.4 [24.1 - 26.7],25.3879976,24.0616302,26.7143651
Czechia,2019,32.0 [30.2 - 33.9],32.0215675,30.192284,33.8508509
Kyrgyzstan,2001,78.1 [74.4 - 81.7],78.0523135,74.3744027,81.7302243
Romania,2000,17.6 [15.7 - 19.4],17.5508672,15.7467488,19.3549856
Denmark,2004,14.1 [13.3 - 14.8],14.0695652,13.3142296,14.8249008
Spain,2007,27.5 [26.2 - 28.9],27.5150966,26.155703,28.8744902
Bulgaria,2015,23.9 [22.5 - 25.3],23.9106298,22.5098552,25.3114045
Kazakhstan,2003,80.7 [76.6 - 84.7],80.6549776,76.6275913,84.6823639
Belgium,2008,21.8 [20.8 - 22.9],21.842178,20.7516343,22.9327217
Netherlands (Kingdom of the),2012,29.1 [27.6 - 30.5],29.0732605,27.6227716,30.5237495
Russian Federation,2007,39.4 [37.4 - 41.5],39.4357471,37.402391,41.4691032
Russian Federation,2009,39.2 [37.3 - 41.1],39.1736035,37.2672238,41.0799832
Norway,2012,22.5 [21.0 - 24.0],22.502278,20.9765305,24.0280254
Kyrgyzstan,2007,78.9 [75.1 - 82.7],78.9055916,75.1085243,82.7026588
Malta,2013,16.4 [15.5 - 17.3],16.3997733,15.4543198,17.3452269
Bulgaria,2014,24.4 [23.0 - 25.8],24.3913084,22.9519337,25.830683
Netherlands (Kingdom of the),2020,30.2 [28.4 - 31.9],30.1691558,28.3921503,31.9461613
Ireland,2005,22.9 [21.5 - 24.2],22.876014,21.539213,24.2128149
Republic of Moldova,2002,31.7 [29.5 - 34.0],31.739382,29.4547882,34.0239758
Latvia,2015,17.5 [16.2 - 18.8],17.5087191,16.237603,18.7798352
Iceland,2014,22.2 [21.0 - 23.5],22.2482116,21.0209357,23.4754875
Croatia,2006,31.1 [29.5 - 32.7],31.1353327,29.5246277,32.7460378
Slovenia,2012,19.3 [18.3 - 20.3],19.2621383,18.25462,20.2696566
Andorra,2003,15.6 [14.5 - 16.6],15.5706383,14.5351023,16.6061743
Switzerland,2008,26.0 [24.6 - 27.3],25.9502666,24.5508048,27.3497285
Greece,2005,32.4 [30.7 - 34.1],32.4365413,30.7371509,34.1359316
Albania,2002,52.0 [49.9 - 54.1],51.9721107,49.8522947,54.0919267
United Kingdom of Great Britain and Northern Ireland,2008,28.1 [26.7 - 29.4],28.0525046,26.6787516,29.4262576
Ireland,2010,12.3 [11.6 - 13.0],12.2887567,11.6007266,12.9767868
France,2009,14.8 [14.0 - 15.7],14.8363331,14.0130671,15.6595991
Kazakhstan,2006,62.0 [57.8 - 66.2],61.9918343,57.767028,66.2166406
Turkmenistan,2003,78.8 [74.9 - 82.6],78.7609707,74.8753852,82.6465562
Malta,2017,14.4 [13.5 - 15.2],14.3519165,13.5498211,15.1540118
