location,sex,age,year,percent_of_prevalence,upper,lower
Albania,Male,15-19 years,2005,0.0091834749639468,0.014541552130806,0.0050848247487172
Albania,Female,15-19 years,2005,0.0063129724771737,0.0104415540212809,0.0032892936228512
Albania,Male,20-24 years,2005,0.0250582072413872,0.0390927844553324,0.0144841935163404
Albania,Female,20-24 years,2005,0.0182235097069812,0.0292427032146855,0.0104437576165271
Albania,Male,25-29 years,2005,0.0309468196267721,0.0426257473729792,0.0205295622002058
Albania,Female,25-29 years,2005,0.0245703232850317,0.0353935668221526,0.0158040554243057
Albania,Male,30-34 years,2005,0.0312951499536126,0.0451941115078745,0.0196936341891487
Albania,Female,30-34 years,2005,0.0266064626998896,0.0411892867460355,0.0155679813674504
Albania,Male,35-39 years,2005,0.0265807897957048,0.0368774895273948,0.0176222331401685
Albania,Female,35-39 years,2005,0.0250658967508089,0.0359335840317478,0.0157190164767792
Albania,Male,40-44 years,2005,0.0218683860411673,0.0319166107128012,0.014266339261577
Albania,Female,40-44 years,2005,0.0228734547648789,0.0346569871712534,0.0141742779554713
Portugal,Male,15-19 years,2005,0.0322637136970831,0.0506223305470171,0.018597087611557
Portugal,Female,15-19 years,2005,0.0058200343210724,0.0090493575790582,0.0032668632012031
Portugal,Male,20-24 years,2005,0.0893170948345855,0.1387964659743381,0.0516202286595121
Portugal,Female,20-24 years,2005,0.0122630397057122,0.0200635578620779,0.0070062658258771
Portugal,Male,25-29 years,2005,0.0991950244994846,0.1352235189219481,0.0653896868918195
Portugal,Female,25-29 years,2005,0.011849036910573,0.017214571806852,0.0076610522905904
Portugal,Male,30-34 years,2005,0.0948224884878975,0.1393894867925252,0.0572648930147153
Portugal,Female,30-34 years,2005,0.0102530488075781,0.0160332666625287,0.0057391058342619
Portugal,Male,35-39 years,2005,0.0896487396435284,0.1212669183359479,0.0626407294380468
Portugal,Female,35-39 years,2005,0.0091311978709468,0.0129557759982429,0.0056902855319575
Portugal,Male,40-44 years,2005,0.0857320326304677,0.1185921439938039,0.061737905523171
Portugal,Female,40-44 years,2005,0.0080511179402126,0.0121421629880779,0.0049406334248764
Bosnia and Herzegovina,Male,15-19 years,2005,0.0124558293011164,0.0175542983057989,0.0076953712194541
Bosnia and Herzegovina,Female,15-19 years,2005,0.0073009341733306,0.0113929378090538,0.0042355437919802
Bosnia and Herzegovina,Male,20-24 years,2005,0.036401915904694,0.0506004106605099,0.0248501648452599
Bosnia and Herzegovina,Female,20-24 years,2005,0.0209577046514192,0.0320328472680588,0.0131057672237011
Bosnia and Herzegovina,Male,25-29 years,2005,0.0459068227518347,0.059772516793739,0.0356148415398219
Bosnia and Herzegovina,Female,25-29 years,2005,0.0267973400573745,0.0369692923922297,0.0186763918906168
Bosnia and Herzegovina,Male,30-34 years,2005,0.0473172137143062,0.0625545688758177,0.0354659410088615
Bosnia and Herzegovina,Female,30-34 years,2005,0.0281110553808701,0.0399133642978755,0.0177444055069765
Bosnia and Herzegovina,Male,35-39 years,2005,0.0430427965078994,0.0540918804251022,0.0340268102662596
Bosnia and Herzegovina,Female,35-39 years,2005,0.0266128879408659,0.0358644580528107,0.0185545399098047
Bosnia and Herzegovina,Male,40-44 years,2005,0.0385004472456635,0.0499486137314634,0.028389464233804
Bosnia and Herzegovina,Female,40-44 years,2005,0.0246761969064554,0.0346397409862407,0.0167705383892554
Belgium,Male,15-19 years,2005,0.0252369354366344,0.0395096890791338,0.0149404197202282
Belgium,Female,15-19 years,2005,0.0103724135368389,0.0160913747362436,0.0060126358897359
Belgium,Male,20-24 years,2005,0.0671359160740527,0.1036817061974516,0.0413816867878153
Belgium,Female,20-24 years,2005,0.02325301948962,0.037358877870618,0.0131731145717125
Belgium,Male,25-29 years,2005,0.0718232166951608,0.0956511063455547,0.0523530186043746
Belgium,Female,25-29 years,2005,0.0219294156639393,0.0305345726695767,0.0136990407648532
Belgium,Male,30-34 years,2005,0.0669363332454518,0.0922839503170039,0.0456325377934027
Belgium,Female,30-34 years,2005,0.0183729821576357,0.0273410364354896,0.01103478847069
Belgium,Male,35-39 years,2005,0.062188496794436,0.0802786445990864,0.0461055294401482
Belgium,Female,35-39 years,2005,0.0171041629098717,0.0231913906932074,0.0114682543247477
Belgium,Male,40-44 years,2005,0.0585580085678631,0.075253533465067,0.0441402299486058
Belgium,Female,40-44 years,2005,0.016052579353241,0.0220427738508122,0.010875912501204
North Macedonia,Male,15-19 years,2005,0.0093621625528807,0.014861953407231,0.0051640341849975
North Macedonia,Female,15-19 years,2005,0.00632150861335,0.0103413342341336,0.0032287538861822
North Macedonia,Male,20-24 years,2005,0.0253318057867536,0.0394143512872319,0.0149878735444298
North Macedonia,Female,20-24 years,2005,0.0183480865789937,0.0300225216484157,0.0108247995613108
North Macedonia,Male,25-29 years,2005,0.0310360863579946,0.043233530108691,0.0201591737320427
North Macedonia,Female,25-29 years,2005,0.02513626520252,0.0364941844698313,0.0161651208087639
North Macedonia,Male,30-34 years,2005,0.0317108933105343,0.0446916532171635,0.0193583249325566
North Macedonia,Female,30-34 years,2005,0.027456023018325,0.0419491933816079,0.0159918433546219
North Macedonia,Male,35-39 years,2005,0.028677721622177,0.038886611687494,0.0196087671834358
North Macedonia,Female,35-39 years,2005,0.0259844702017477,0.0368220295097321,0.0163820896781136
North Macedonia,Male,40-44 years,2005,0.0258165148782447,0.0355038706468661,0.0179748317120554
North Macedonia,Female,40-44 years,2005,0.0237920135848582,0.0359611315429112,0.0145671859661227
Lithuania,Male,15-19 years,2005,0.0142735714712427,0.019657670464602,0.0091719204259638
Lithuania,Female,15-19 years,2005,0.0060331122262891,0.0089541431439874,0.0036861009810509
Lithuania,Male,20-24 years,2005,0.0338040589132845,0.0470678836008326,0.0224121277970095
Lithuania,Female,20-24 years,2005,0.0159078536066187,0.0231003474314363,0.010458672307789
Lithuania,Male,25-29 years,2005,0.0411092105060833,0.0524665136511991,0.0287741804547443
Lithuania,Female,25-29 years,2005,0.0218635895998597,0.0292062325346452,0.0157144897285821
Lithuania,Male,30-34 years,2005,0.0451487083565535,0.0575841922004139,0.0335493807038037
Lithuania,Female,30-34 years,2005,0.0258537430622871,0.0351940448655616,0.0183023975821614
Lithuania,Male,35-39 years,2005,0.0496146727847956,0.0625370904788036,0.0402355168981875
Lithuania,Female,35-39 years,2005,0.030013463365139,0.0397087864117051,0.02189006555866
Lithuania,Male,40-44 years,2005,0.0608583022235649,0.074015194883395,0.0501781732414191
Lithuania,Female,40-44 years,2005,0.0328427302634495,0.0454492763480616,0.023455994353362
Austria,Male,15-19 years,2005,0.0330813909491441,0.0487282180509264,0.0199109233929151
Austria,Female,15-19 years,2005,0.0116369205037763,0.0173053395799566,0.0069349550272937
Austria,Male,20-24 years,2005,0.0932807931586985,0.133074177965795,0.0587877396139314
Austria,Female,20-24 years,2005,0.0262557528952906,0.0408310251918491,0.0159866355448308
Austria,Male,25-29 years,2005,0.096454785460123,0.1231276256990318,0.0732684804145305
Austria,Female,25-29 years,2005,0.0256395942872333,0.0348771078362704,0.01783223692776
Austria,Male,30-34 years,2005,0.0847733211597074,0.1130227240795392,0.0598270084494027
Austria,Female,30-34 years,2005,0.0222063971600231,0.0309479414474603,0.0141141063154087
Austria,Male,35-39 years,2005,0.0725196977786962,0.0927931558420395,0.0536221926368262
Austria,Female,35-39 years,2005,0.0209333184958524,0.0272496127202016,0.0147124352157734
Austria,Male,40-44 years,2005,0.0627567533211409,0.079671761827519,0.0475564073377662
Austria,Female,40-44 years,2005,0.0197444633667886,0.0268990401377639,0.0137422876357704
Poland,Male,15-19 years,2005,0.0083418872368201,0.0118288721077045,0.0057174668069464
Poland,Female,15-19 years,2005,0.0052248931143796,0.007485498783129,0.0033585079122725
Poland,Male,20-24 years,2005,0.028801235904393,0.0380442616572913,0.021217942171575
Poland,Female,20-24 years,2005,0.0164409751844327,0.0226581406941335,0.0113706938324322
Poland,Male,25-29 years,2005,0.0498765645499666,0.0645181872244652,0.0360122641416473
Poland,Female,25-29 years,2005,0.0255137352427674,0.0337091047634246,0.0183158576218962
Poland,Male,30-34 years,2005,0.0626217865146868,0.0804378614242302,0.0457112630105533
Poland,Female,30-34 years,2005,0.031553860204959,0.0418607489391505,0.022374155736199
Poland,Male,35-39 years,2005,0.0677368959659552,0.0864356068359247,0.0523154324096454
Poland,Female,35-39 years,2005,0.0368119038983538,0.0473220469749299,0.0279127237474108
Poland,Male,40-44 years,2005,0.0687951851760065,0.0924090404510927,0.0506011214574917
Poland,Female,40-44 years,2005,0.0401547626029885,0.0537829275065838,0.0294039932031204
Italy,Male,15-19 years,2005,0.0167734169567133,0.0230759963456946,0.0111703511245553
Italy,Female,15-19 years,2005,0.0097819937893552,0.0139810713782106,0.0066873355538274
Italy,Male,20-24 years,2005,0.0461045766277403,0.0648883702021096,0.0321090415543496
Italy,Female,20-24 years,2005,0.0245025985133158,0.0353010508414925,0.0165368990083148
Italy,Male,25-29 years,2005,0.0494058564410875,0.0639474638458961,0.0368279076433094
Italy,Female,25-29 years,2005,0.0241538026351269,0.0313195360173084,0.0179879266916815
Italy,Male,30-34 years,2005,0.0447848281301281,0.0606041495005268,0.0306503655503005
Italy,Female,30-34 years,2005,0.0203254324905763,0.0280823092272689,0.0134549824862324
Italy,Male,35-39 years,2005,0.0370730514528408,0.0482757561010784,0.0266394317896602
Italy,Female,35-39 years,2005,0.0170492162790339,0.0230031602899096,0.0119690781615145
Italy,Male,40-44 years,2005,0.0300936785439,0.0412282468032764,0.0215163531305784
Italy,Female,40-44 years,2005,0.0140420137464585,0.0198871160931237,0.0096455831398241
Russian Federation,Male,15-19 years,2005,0.0222004713230349,0.0297410577188436,0.015990501255864
Russian Federation,Female,15-19 years,2005,0.007007181801563,0.0095726267582482,0.0049599755179677
Russian Federation,Male,20-24 years,2005,0.0700394018715878,0.0929211010728914,0.0522028447211578
Russian Federation,Female,20-24 years,2005,0.022079621967178,0.0290159381578026,0.016239867816113
Russian Federation,Male,25-29 years,2005,0.0995423455299691,0.1270096854454941,0.0753313163348115
Russian Federation,Female,25-29 years,2005,0.0361705846858635,0.0467199230846088,0.0268521817867484
Russian Federation,Male,30-34 years,2005,0.1118304703593842,0.1440328619338246,0.080309160704424
Russian Federation,Female,30-34 years,2005,0.0445521432905106,0.0577417642077682,0.0324602126542083
Russian Federation,Male,35-39 years,2005,0.114486428058968,0.1493160774502508,0.0883947188272713
Russian Federation,Female,35-39 years,2005,0.0479226842113095,0.06163826162076,0.03752586158749
Russian Federation,Male,40-44 years,2005,0.1200436194814187,0.1597272235106866,0.0895659139598777
Russian Federation,Female,40-44 years,2005,0.0496311614316137,0.0665712228165024,0.0364368152773126
Bulgaria,Male,15-19 years,2005,0.0092623940050168,0.014748611964286,0.0053633271334992
Bulgaria,Female,15-19 years,2005,0.0063136606845444,0.0103804183787899,0.0033556913843039
Bulgaria,Male,20-24 years,2005,0.0255592026694449,0.0390775672553426,0.015436635983553
Bulgaria,Female,20-24 years,2005,0.01837407601578,0.0297785191850365,0.0106638526371054
Bulgaria,Male,25-29 years,2005,0.03217952682351,0.0449281356507725,0.0222673851067086
