Country,Prevalence,Abstinence_Rate,Consumption_Liters,Liters_per_Drinker,Prevalence_Scaled,Liters_per_Drinker_Scaled,Abstinence_Rate_Scaled,Cluster,Cluster_Name
Albania,0.02275222218333333,49.73336391,4.394810303,8.739541874067555,0.21198739775340675,0.2868194544050055,0.8131148247123865,2,The Moderate/Abstinent Culture
Andorra,0.030518867449999997,17.03761017,10.713833333,12.912615448386351,0.40715715697195803,0.5559623411257533,0.031841210831669076,1,The High-Access Social Culture
Austria,0.04182298301666666,20.384690929999998,11.714333333999999,14.7146576590762,0.6912207954638301,0.6721852722435866,0.1118205837530109,1,The High-Access Social Culture
Belarus,0.0333764318,29.9652083,11.310333334000001,16.109673007140927,0.4789655281530945,0.7621569564497961,0.3407495599139038,0,The Concentrated Bingers Culture
Belgium,0.03672740613333333,22.03533348,9.8566666671,12.640772465268455,0.5631729087310544,0.5384297949321306,0.15126312055821328,1,The High-Access Social Culture
Bosnia and Herzegovina,0.027642383700000002,57.35405697,4.8747319166,11.424098424055295,0.3348733559732135,0.45996025495912357,0.9952132847940076,2,The Moderate/Abstinent Culture
Bulgaria,0.0249776567,34.6334271,10.50350579,16.067410867872347,0.2679108375220031,0.7594312546477144,0.4522978729231241,0,The Concentrated Bingers Culture
Croatia,0.029077959549999997,31.15314977,10.287819211,14.942004308256358,0.3709482613364033,0.6868480219787443,0.36913573301534314,0,The Concentrated Bingers Culture
Cyprus,0.028973675983333336,32.33841549,5.6117642231,8.292588081196616,0.3683276963565482,0.25799311528068075,0.39745796836850594,4,The Low-Intensity Social Culture
Czechia,0.027557034533333337,25.189269869999997,12.895000002,17.236620823346822,0.33272859774930835,0.8348395926496166,0.22662725808383438,0,The Concentrated Bingers Culture
Denmark,0.04411214665,22.111363779999998,9.5126666671,12.21285603459466,0.7487456984032022,0.5108312727935449,0.15307988452450055,3,High-Risk Drinking Culture
Estonia,0.022549942916666666,23.84838868,15.101666667,19.797440987814806,0.20690427699602193,1.0,0.19458655024676913,0,The Concentrated Bingers Culture
Finland,0.03418434718333333,21.57312111,8.856,11.28859473419253,0.4992678138144305,0.45122092803342223,0.1402184347081213,1,The High-Access Social Culture
France,0.03586484736666666,22.88526229,11.858999999,15.377725893569334,0.5414974773160652,0.7149499385132061,0.17157239246582695,1,The High-Access Social Culture
Germany,0.0318612739,21.11429085,11.164333334,14.153101916051877,0.4408907877255583,0.6359676664332572,0.1292545652638309,1,The High-Access Social Culture
