location,sex,age,year,percent_of_prevalence,upper_bound,lower_bound,generation,prevalence %
Albania,Male,15-19 years,2010,0.009399288,0.015125832,0.005307184,Millennial,0.94%
Albania,Female,15-19 years,2010,0.00638816,0.010502061,0.003392819,Millennial,0.64%
Albania,Both Sexes,15-19 years,2010,0.00788569,0.012866018,0.004240804,Millennial,0.79%
Albania,Male,20-24 years,2010,0.025625113,0.04049128,0.015240268,Millennial,2.56%
Albania,Female,20-24 years,2010,0.01842371,0.029211449,0.010647068,Millennial,1.84%
Albania,Both Sexes,20-24 years,2010,0.022157235,0.03499756,0.012999913,Millennial,2.22%
Albania,Male,25-29 years,2010,0.030997961,0.042886077,0.020628045,Millennial,3.10%
Albania,Female,25-29 years,2010,0.02498135,0.035432167,0.016119913,Millennial,2.50%
Albania,Both Sexes,25-29 years,2010,0.028012004,0.038112288,0.019215227,Millennial,2.80%
Albania,Male,30-34 years,2010,0.030609873,0.043591621,0.019569366,Gen_X,3.06%
Albania,Female,30-34 years,2010,0.026889227,0.040032687,0.015937629,Gen_X,2.69%
Albania,Both Sexes,30-34 years,2010,0.028670881,0.041647166,0.017771712,Gen_X,2.87%
Albania,Male,35-39 years,2010,0.025159173,0.033959317,0.01690976,Gen_X,2.52%
Albania,Female,35-39 years,2010,0.024466579,0.034129668,0.015797698,Gen_X,2.45%
Albania,Both Sexes,35-39 years,2010,0.024792524,0.034619718,0.016888414,Gen_X,2.48%
Albania,Male,40-44 years,2010,0.019988156,0.028760631,0.013229881,Gen_X,2.00%
Albania,Female,40-44 years,2010,0.021439233,0.031973809,0.01354211,Gen_X,2.14%
Albania,Both Sexes,40-44 years,2010,0.020742355,0.029859893,0.013429986,Gen_X,2.07%
Albania,Male,15-19 years,2011,0.009434862,0.014971941,0.005257841,Millennial,0.94%
Albania,Female,15-19 years,2011,0.006383529,0.010456623,0.003391512,Millennial,0.64%
Albania,Both Sexes,15-19 years,2011,0.007897806,0.012715184,0.004196728,Millennial,0.79%
Albania,Male,20-24 years,2011,0.025824281,0.04051457,0.015586268,Millennial,2.58%
Albania,Female,20-24 years,2011,0.018433029,0.02925375,0.010664659,Millennial,1.84%
Albania,Both Sexes,20-24 years,2011,0.022273369,0.035158263,0.013279588,Millennial,2.23%
Albania,Male,25-29 years,2011,0.031373335,0.043618629,0.021036805,Millennial,3.14%
Albania,Female,25-29 years,2011,0.025053083,0.035624015,0.016188352,Millennial,2.51%
Albania,Both Sexes,25-29 years,2011,0.028284126,0.038564472,0.019382262,Millennial,2.83%
Albania,Male,30-34 years,2011,0.031093449,0.044085793,0.019821156,Millennial,3.11%
Albania,Female,30-34 years,2011,0.027020178,0.040730941,0.015937811,Millennial,2.70%
Albania,Both Sexes,30-34 years,2011,0.028986576,0.042141044,0.017897072,Millennial,2.90%
Albania,Male,35-39 years,2011,0.02564689,0.034751219,0.017473579,Gen_X,2.56%
Albania,Female,35-39 years,2011,0.024613304,0.034513402,0.016121702,Gen_X,2.46%
Albania,Both Sexes,35-39 years,2011,0.025099376,0.034795993,0.016980201,Gen_X,2.51%
Albania,Male,40-44 years,2011,0.020450052,0.029065725,0.013621128,Gen_X,2.05%
Albania,Female,40-44 years,2011,0.021630538,0.031814862,0.013742689,Gen_X,2.16%
Albania,Both Sexes,40-44 years,2011,0.021067797,0.030280015,0.013753924,Gen_X,2.11%
Albania,Male,15-19 years,2012,0.009482925,0.01493372,0.00509937,Gen_Z,0.95%
Albania,Female,15-19 years,2012,0.006370046,0.010399408,0.003423692,Gen_Z,0.64%
Albania,Both Sexes,15-19 years,2012,0.007912461,0.012664288,0.004144295,Gen_Z,0.79%
Albania,Male,20-24 years,2012,0.026136235,0.040795368,0.015711365,Millennial,2.61%
Albania,Female,20-24 years,2012,0.018439222,0.029330852,0.010726982,Millennial,1.84%
Albania,Both Sexes,20-24 years,2012,0.022434668,0.035426945,0.013439949,Millennial,2.24%
Albania,Male,25-29 years,2012,0.032191774,0.045171887,0.021361387,Millennial,3.22%
Albania,Female,25-29 years,2012,0.025149741,0.035925289,0.016301334,Millennial,2.51%
Albania,Both Sexes,25-29 years,2012,0.028801979,0.03974909,0.019688884,Millennial,2.88%
Albania,Male,30-34 years,2012,0.032224112,0.0457005,0.020334486,Millennial,3.22%
Albania,Female,30-34 years,2012,0.027226906,0.041775188,0.015828365,Millennial,2.72%
Albania,Both Sexes,30-34 years,2012,0.029658337,0.043249155,0.018278553,Millennial,2.97%
Albania,Male,35-39 years,2012,0.026798817,0.036691144,0.018635127,Gen_X,2.68%
Albania,Female,35-39 years,2012,0.024960423,0.034518805,0.016320539,Gen_X,2.50%
Albania,Both Sexes,35-39 years,2012,0.025826836,0.035626817,0.017568155,Gen_X,2.58%
Albania,Male,40-44 years,2012,0.021543586,0.030547459,0.014706113,Gen_X,2.15%
Albania,Female,40-44 years,2012,0.022085801,0.032196038,0.014213041,Gen_X,2.21%
Albania,Both Sexes,40-44 years,2012,0.021828711,0.031257154,0.014204203,Gen_X,2.18%
