location,sex,age,year,precent_of_prevalence,upper_bound,lower_bound
Albania,Male,15-19 years,2005,0.0091834749639468,0.014541552130806,0.0050848247487172
Albania,Female,15-19 years,2005,0.0063129724771737,0.0104415540212809,0.0032892936228512
Albania,Both Sexes,15-19 years,2005,0.00774575,0.012590556,0.004331572
Albania,Male,20-24 years,2005,0.0250582072413872,0.0390927844553324,0.0144841935163404
Albania,Female,20-24 years,2005,0.0182235097069812,0.0292427032146855,0.0104437576165271
Albania,Both Sexes,20-24 years,2005,0.021565437,0.033490409,0.012557763
Albania,Male,25-29 years,2005,0.0309468196267721,0.0426257473729792,0.0205295622002058
Albania,Female,25-29 years,2005,0.0245703232850317,0.0353935668221526,0.0158040554243057
Albania,Both Sexes,25-29 years,2005,0.027626161,0.038302555,0.018783628
Albania,Male,30-34 years,2005,0.0312951499536126,0.0451941115078745,0.0196936341891487
Albania,Female,30-34 years,2005,0.0266064626998896,0.0411892867460355,0.0155679813674504
Albania,Both Sexes,30-34 years,2005,0.028824617,0.043373652,0.017787684
Albania,Male,35-39 years,2005,0.0265807897957048,0.0368774895273948,0.0176222331401685
Albania,Female,35-39 years,2005,0.0250658967508089,0.0359335840317478,0.0157190164767792
Albania,Both Sexes,35-39 years,2005,0.025798004,0.036497517,0.017048513
Albania,Male,40-44 years,2005,0.0218683860411673,0.0319166107128012,0.014266339261577
Albania,Female,40-44 years,2005,0.0228734547648789,0.0346569871712534,0.0141742779554713
Albania,Both Sexes,40-44 years,2005,0.022376364,0.032644526,0.014338041
Albania,Male,15-19 years,2006,0.009216687962773,0.0144395789836142,0.0051213983163842
Albania,Female,15-19 years,2006,0.0063300142133507,0.0103896276224957,0.0032985471749649
Albania,Both Sexes,15-19 years,2006,0.007774621,0.012666974,0.00426662
Albania,Male,20-24 years,2006,0.0251398281884688,0.0391879623561143,0.0146668435383214
Albania,Female,20-24 years,2006,0.0182698642802278,0.0291233084687364,0.0104988613170513
Albania,Both Sexes,20-24 years,2006,0.021673644,0.033529378,0.012740823
Albania,Male,25-29 years,2006,0.0309609852697401,0.0426995522166572,0.0211215022417354
Albania,Female,25-29 years,2006,0.0246323601094439,0.0356696388055483,0.0158207847310915
Albania,Both Sexes,25-29 years,2006,0.027687109,0.038142894,0.01899469
Albania,Male,30-34 years,2006,0.0312283575765258,0.0449690490204044,0.0196637360993495
Albania,Female,30-34 years,2006,0.0266473465038168,0.0411125567673065,0.0154988440531665
Albania,Both Sexes,30-34 years,2006,0.028811627,0.043383648,0.01777647
Albania,Male,35-39 years,2006,0.0264386945261328,0.0366935034273996,0.0181263471832733
Albania,Female,35-39 years,2006,0.0250046846185098,0.0358012744104124,0.015684212703161
Albania,Both Sexes,35-39 years,2006,0.02569248,0.035862401,0.017133225
Albania,Male,40-44 years,2006,0.021676075554805,0.0310533634144897,0.0142202578008855
Albania,Female,40-44 years,2006,0.0227252505575888,0.0341325689102902,0.0143362258241229
Albania,Both Sexes,40-44 years,2006,0.022208438,0.031955513,0.014279257
Albania,Male,15-19 years,2007,0.0092622261782985,0.0144932842532925,0.0050305636649705
Albania,Female,15-19 years,2007,0.0063490297427426,0.0103687313609191,0.0033323166146075
Albania,Both Sexes,15-19 years,2007,0.00780772,0.012740501,0.00416705
Albania,Male,20-24 years,2007,0.0252499074588814,0.0393528363684761,0.0149898767496993
Albania,Female,20-24 years,2007,0.0183193734352383,0.0290948800516131,0.0105715401006912
Albania,Both Sexes,20-24 years,2007,0.02180017,0.033725182,0.012859843
Albania,Male,25-29 years,2007,0.030956118825074,0.0428213037985881,0.0210409087432151
Albania,Female,25-29 years,2007,0.0247211591462705,0.0359488765717612,0.0159243454992875
Albania,Both Sexes,25-29 years,2007,0.027753451,0.038009349,0.019091718
Albania,Male,30-34 years,2007,0.031053754104582,0.0442345152230172,0.0196553429341904
Albania,Female,30-34 years,2007,0.0266968223179039,0.0413806450014427,0.0157187116576556
Albania,Both Sexes,30-34 years,2007,0.028757541,0.042970396,0.017861339
Albania,Male,35-39 years,2007,0.0260846664285458,0.0355981401999077,0.0179168783385126
Albania,Female,35-39 years,2007,0.0248555651299672,0.0355057067588547,0.0157595437513464
Albania,Both Sexes,35-39 years,2007,0.025441593,0.035550037,0.017059141
Albania,Male,40-44 years,2007,0.0212085071630408,0.0306883579704166,0.0143170419970825
Albania,Female,40-44 years,2007,0.0223694814297451,0.0328231354754686,0.0142956586090211
Albania,Both Sexes,40-44 years,2007,0.021801001,0.031125889,0.014031639
Albania,Male,15-19 years,2008,0.0093141658540142,0.0146569855147617,0.0052241149118999
Albania,Female,15-19 years,2008,0.0063670855251812,0.0105257145555905,0.0033644289250561
Albania,Both Sexes,15-19 years,2008,0.007839778,0.012670325,0.004105382
Albania,Male,20-24 years,2008,0.0253733700963188,0.0397782552973583,0.0152231933878468
Albania,Female,20-24 years,2008,0.0183658139011393,0.0292423182883958,0.0106203477505487
Albania,Both Sexes,20-24 years,2008,0.021933516,0.034230185,0.013034843
Albania,Male,25-29 years,2008,0.0309524541327244,0.042896334797893,0.0210482994549231
Albania,Female,25-29 years,2008,0.0248200798209443,0.0360139903453258,0.0160175903174582
Albania,Both Sexes,25-29 years,2008,0.027835592,0.037896085,0.019170527
Albania,Male,30-34 years,2008,0.03084430790873,0.0441057296202224,0.0196723962911281
Albania,Female,30-34 years,2008,0.0267542194408812,0.040247036479822,0.0157254170061594
Albania,Both Sexes,30-34 years,2008,0.028690078,0.04230897,0.017909603
Albania,Male,35-39 years,2008,0.0256593082019166,0.0347979430108203,0.0175156520590416
Albania,Female,35-39 years,2008,0.0246771058953275,0.0351681600119136,0.0157929871242975
Albania,Both Sexes,35-39 years,2008,0.025142839,0.035235934,0.016954679
Albania,Male,40-44 years,2008,0.0206490071183187,0.030097264118134,0.013884489699918
Albania,Female,40-44 years,2008,0.0219443809539297,0.0323190611923272,0.0140916189216932
Albania,Both Sexes,40-44 years,2008,0.021314077,0.030328195,0.01372243
Albania,Male,15-19 years,2009,0.0093625164679108,0.0147539632818358,0.0051953511144741
Albania,Female,15-19 years,2009,0.0063812263514576,0.0106089267851075,0.0033838584902442
Albania,Both Sexes,15-19 years,2009,0.007867331,0.012705005,0.004200936
Albania,Male,20-24 years,2009,0.0255023989732196,0.0401424245028917,0.0152474632241333
Albania,Female,20-24 years,2009,0.0184027086093553,0.0293064673702019,0.0107895087923624
Albania,Both Sexes,20-24 years,2009,0.022057674,0.034698468,0.013185222
Albania,Male,25-29 years,2009,0.0309611690770066,0.0428706310709193,0.0208195947049143
Albania,Female,25-29 years,2009,0.0249123501330233,0.036088947746944,0.0159309122005324
Albania,Both Sexes,25-29 years,2009,0.027920528,0.03782141,0.019220052
Albania,Male,30-34 years,2009,0.0306720592856686,0.0436992802204602,0.0196317305790379
Albania,Female,30-34 years,2009,0.0268185824112369,0.0397533204745817,0.015821944313792
Albania,Both Sexes,30-34 years,2009,0.028649328,0.04189289,0.017737828
Albania,Male,35-39 years,2009,0.0253036720552054,0.0344737595523879,0.0171889217228035
Albania,Female,35-39 years,2009,0.0245278945241807,0.0345914938438846,0.0159439801582354
Albania,Both Sexes,35-39 years,2009,0.024894345,0.034997613,0.016878575
Albania,Male,40-44 years,2009,0.0201809465867764,0.0292188724344988,0.0134693312338938
Albania,Female,40-44 years,2009,0.0215881909955212,0.0318861051912595,0.0137048566703415
Albania,Both Sexes,40-44 years,2009,0.020908014,0.029773185,0.013610844
Albania,Male,15-19 years,2010,0.00939928773703,0.0151258320685039,0.0053071841799493
Albania,Female,15-19 years,2010,0.0063881603418738,0.0105020606248548,0.0033928186901085
Albania,Both Sexes,15-19 years,2010,0.00788569,0.012866018,0.004240804
Albania,Male,20-24 years,2010,0.0256251127757489,0.0404912803440417,0.0152402677093384
Albania,Female,20-24 years,2010,0.0184237102715175,0.029211449012242,0.0106470680100007
Albania,Both Sexes,20-24 years,2010,0.022157235,0.03499756,0.012999913
Albania,Male,25-29 years,2010,0.0309979606767384,0.0428860773366518,0.0206280454724322
Albania,Female,25-29 years,2010,0.0249813503398638,0.035432166554861,0.0161199128353583
Albania,Both Sexes,25-29 years,2010,0.028012004,0.038112288,0.019215227
Albania,Male,30-34 years,2010,0.0306098730433519,0.0435916213670346,0.0195693659210794
Albania,Female,30-34 years,2010,0.0268892270014472,0.0400326873942672,0.0159376289432682
Albania,Both Sexes,30-34 years,2010,0.028670881,0.041647166,0.017771712
Albania,Male,35-39 years,2010,0.0251591732805521,0.0339593174705453,0.0169097603436768
Albania,Female,35-39 years,2010,0.0244665794240345,0.0341296682960401,0.015797697685355
Albania,Both Sexes,35-39 years,2010,0.024792524,0.034619718,0.016888414
Albania,Male,40-44 years,2010,0.019988156042798,0.0287606308894036,0.0132298806509307
Albania,Female,40-44 years,2010,0.0214392328843008,0.0319738094041129,0.0135421096984926
Albania,Both Sexes,40-44 years,2010,0.020742355,0.029859893,0.013429986
Albania,Male,15-19 years,2011,0.0094348624622081,0.0149719409171627,0.0052578407278593
Albania,Female,15-19 years,2011,0.0063835288602423,0.0104566231079644,0.00339151153858
Albania,Both Sexes,15-19 years,2011,0.007897806,0.012715184,0.004196728
Albania,Male,20-24 years,2011,0.0258242814046022,0.0405145704077101,0.0155862676131305
Albania,Female,20-24 years,2011,0.0184330286932599,0.0292537502320237,0.0106646586826832
Albania,Both Sexes,20-24 years,2011,0.022273369,0.035158263,0.013279588
Albania,Male,25-29 years,2011,0.0313733347173637,0.0436186285674917,0.0210368046500856
Albania,Female,25-29 years,2011,0.0250530825992253,0.0356240148702004,0.0161883516938291
Albania,Both Sexes,25-29 years,2011,0.028284126,0.038564472,0.019382262
Albania,Male,30-34 years,2011,0.0310934493994038,0.0440857930149538,0.0198211556333243
Albania,Female,30-34 years,2011,0.0270201777727628,0.040730940529808,0.0159378114163716
Albania,Both Sexes,30-34 years,2011,0.028986576,0.042141044,0.017897072
Albania,Male,35-39 years,2011,0.0256468898602827,0.0347512193336921,0.017473578895764
Albania,Female,35-39 years,2011,0.0246133036812111,0.0345134019491138,0.0161217023291108
Albania,Both Sexes,35-39 years,2011,0.025099376,0.034795993,0.016980201
Albania,Male,40-44 years,2011,0.0204500519360615,0.029065724670887,0.0136211283266546
Albania,Female,40-44 years,2011,0.0216305378156934,0.0318148622637803,0.0137426888172652
Albania,Both Sexes,40-44 years,2011,0.021067797,0.030280015,0.013753924
Albania,Male,15-19 years,2012,0.009482925219037,0.0149337198705751,0.0050993699467665
Albania,Female,15-19 years,2012,0.0063700464712942,0.0103994082329799,0.0034236922365638
Albania,Both Sexes,15-19 years,2012,0.007912461,0.012664288,0.004144295
Albania,Male,20-24 years,2012,0.0261362348610824,0.0407953680558222,0.0157113647854864
Albania,Female,20-24 years,2012,0.0184392222188341,0.0293308515327295,0.0107269815369387
Albania,Both Sexes,20-24 years,2012,0.022434668,0.035426945,0.013439949
Albania,Male,25-29 years,2012,0.0321917740744819,0.0451718873908509,0.0213613867263449
Albania,Female,25-29 years,2012,0.0251497408190638,0.0359252885375528,0.0163013338011493
Albania,Both Sexes,25-29 years,2012,0.028801979,0.03974909,0.019688884
