population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Number,2005,568687.5398198981,806415.0191237937,391453.42559632135
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Number,2005,244624.5605568608,355788.414590431,159054.97415050011
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Percent,2005,0.0180539661669093,0.0252573774337902,0.0124066781411987
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Percent,2005,0.0077297708228045,0.0111836390125742,0.0050466679719323
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Rate,2005,1669.13899752697,2366.88631693472,1148.94407319926
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Rate,2005,751.5632841008501,1093.09346823523,488.66670808935004
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Number,2005,1644904.5254905203,2223621.123251456,1188257.2583223635
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Number,2005,646865.0119631132,905547.62334364,444568.8154425377
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Percent,2005,0.0508288203680576,0.0686813271190793,0.0366538546121227
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Percent,2005,0.0199066807756571,0.027787927570925,0.0136810657323728
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Rate,2005,4852.95186767086,6560.33594403149,3505.7081986745397
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Rate,2005,1967.42866237888,2754.2073173946,1352.14830563653
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2005,1972202.1659940928,2470284.756555997,1520680.65277472
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2005,772000.762895666,988496.2395797436,583448.6591085398
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2005,0.0614287341736272,0.0768922863600826,0.0478182736368766
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2005,0.023947470398251,0.0307398052002469,0.0181143507874929
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2005,5969.55492735819,7477.17490364061,4602.868225293691
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2005,2379.64701157641,3046.98160355103,1798.44622542625
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2005,2014097.7773243568,2556787.712545677,1486170.8274450633
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2005,790396.8974457744,1042007.0886386646,543967.0634065925
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2005,0.0629722843937726,0.079733266461295,0.0464546911434969
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2005,0.0245674750860832,0.0323886044261131,0.0169002011577568
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2005,6175.411180555499,7839.34901479153,4556.73803295283
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2005,2447.32286681887,3226.3888986073803,1684.2968859990901
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2005,1946164.9477587708,2380090.9928835416,1601199.6098708045
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2005,786589.6914414444,1000602.0862053328,603116.0484493831
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2005,0.0612100266866114,0.0746651759286458,0.0504091521304474
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2005,0.0244967476909381,0.0311556671165156,0.0187896604851739
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2005,6039.42003938792,7385.99739685029,4968.90924998435
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2005,2444.4461799454,3109.5219958805,1874.2741441147002
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2005,2031130.743755028,2475253.449471716,1663436.510183715
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2005,840617.1251295689,1097980.4818686796,632638.451294572
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Percent,2005,0.0623320434915598,0.0761023480483026,0.0511068854813061
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Percent,2005,0.0251979349396847,0.032897191482072,0.018964043850401
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Rate,2005,6173.22370694876,7523.04760388603,5055.68916784056
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Rate,2005,2516.2134573733097,3286.57742249228,1893.67232383453
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Number,2006,550357.689219619,782072.2400680814,376855.4269123743
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Number,2006,238524.78870671065,346084.987362827,153543.93627785152
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Percent,2006,0.017755499312214,0.0250640888194279,0.0121519818212868
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Percent,2006,0.0076587437286464,0.0110616414878646,0.0049509982859273
All Population,Prevalence,European Region,Male,15-19 years,Alcohol use disorders,Rate,2006,1640.10205385613,2330.6266312337802,1123.05391891994
All Population,Prevalence,European Region,Female,15-19 years,Alcohol use disorders,Rate,2006,744.50437733187,1080.23065199018,479.25472774314
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Number,2006,1625929.367188038,2198364.173998028,1175704.2602045662
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Number,2006,643090.4854037501,902102.4996205051,441455.2864320213
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Percent,2006,0.0500574084004257,0.0677128013696281,0.0358894084968402
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Percent,2006,0.0197134530441472,0.0275735029269752,0.0135821269616377
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Rate,2006,4776.3625561434,6457.95846815339,3453.7722971639496
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Rate,2006,1948.0803898974198,2732.6919447188297,1337.27742212644
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2006,1951572.9364342028,2445976.9645968024,1505586.7996306585
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2006,768752.5927536119,984019.1180581206,580892.2876216191
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2006,0.0604648138648784,0.075455162983922,0.0470034610527117
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2006,0.0237218980912083,0.0304422449754528,0.017940732584766
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2006,5873.49280101703,7361.4610168053905,4531.24403594899
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2006,2357.06836999181,3017.09595584467,1781.07085482564
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2006,1983513.4016707127,2519561.157811267,1459123.150126462
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2006,786840.0528022205,1038064.5914274245,541441.4625603278
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2006,0.0619511135660475,0.0785308972675119,0.0456590579111114
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2006,0.0244170846695964,0.0322140664531553,0.016794183165216
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2006,6074.056392129501,7715.58011308329,4468.23111427664
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2006,2432.22548262589,3208.7933791495,1673.6663542984102
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2006,1916596.0131098935,2353665.6832656665,1571234.8383240823
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2006,778792.3522393917,992376.7014637688,595165.195332424
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2006,0.0602507671225041,0.0739388666843083,0.0494138366013071
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2006,0.024249960567872,0.0308941435557274,0.0185433587945245
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2006,5944.094661574391,7299.61427830024,4872.99803958549
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2006,2419.7656405938,3083.38806592403,1849.2224352249498
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2006,1956764.671898038,2379932.77120379,1599889.01834823
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2006,808205.9524895714,1054955.3324758052,606299.7079005477
