population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Portugal,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,11114.867328635564,17630.656122133496,6407.451942528197
All Population,Prevalence,Portugal,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.018867313,0.029897822,0.010934223
All Population,Prevalence,Portugal,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,1773.830109,2813.689785,1022.570116
All Population,Prevalence,Portugal,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,35260.34043025212,55687.23721984309,20203.47638457449
All Population,Prevalence,Portugal,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.050310182,0.079126065,0.028768818
All Population,Prevalence,Portugal,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,4861.680886,7678.132810521481,2785.646814
All Population,Prevalence,Portugal,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,44445.26623013697,61112.90727799753,29967.18714119272
All Population,Prevalence,Portugal,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.054859566,0.075090574,0.03693182
All Population,Prevalence,Portugal,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,5366.2344520958995,7378.652809,3618.179521
All Population,Prevalence,Portugal,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,42567.36063551046,62628.30294899103,25464.563276183435
All Population,Prevalence,Portugal,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.051849692,0.075864435,0.031091722
All Population,Prevalence,Portugal,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,5104.715038192259,7510.440749,3053.732652
All Population,Prevalence,Portugal,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,38450.01965870266,51471.34858187362,27485.607651742863
All Population,Prevalence,Portugal,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.048507736,0.064843217,0.034704371
All Population,Prevalence,Portugal,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,4800.161147,6425.764403,3431.3466445887098
All Population,Prevalence,Portugal,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,36269.86573637319,49403.353161289066,26610.69405329843
All Population,Prevalence,Portugal,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.045863552,0.062538091,0.03364913
All Population,Prevalence,Portugal,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,4549.874758,6197.405613003721,3338.17958
All Population,Prevalence,Portugal,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,33140.269397000404,44077.17611079982,24925.11180917001
All Population,Prevalence,Portugal,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.044974727,0.05974814,0.033815194
All Population,Prevalence,Portugal,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,4471.702796,5947.448081272571,3363.210203
All Population,Prevalence,Portugal,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,29847.19831144204,39485.90369339595,21746.525952795168
All Population,Prevalence,Portugal,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.043231364,0.057206511,0.031508465
All Population,Prevalence,Portugal,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,4305.376856,5695.733788,3136.8769878199305
All Population,Prevalence,Belgium,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,10352.900744054446,16490.369070122404,6084.523504711508
All Population,Prevalence,Belgium,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.017701161,0.028018758,0.010533493
All Population,Prevalence,Belgium,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,1656.051683,2637.802113,973.2813674
All Population,Prevalence,Belgium,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,27828.54345924395,42884.58437941788,17119.141732699358
All Population,Prevalence,Belgium,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.044831881,0.068838184,0.027862107
All Population,Prevalence,Belgium,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,4329.466575,6671.832284,2663.3356517601796
All Population,Prevalence,Belgium,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,30152.57859445628,40299.72586937175,21753.14811243477
All Population,Prevalence,Belgium,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.046660479,0.062310584,0.033793997
All Population,Prevalence,Belgium,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,4564.919876,6101.137223,3293.296389
All Population,Prevalence,Belgium,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,30109.00889295242,41500.24731541662,20358.673586578043
All Population,Prevalence,Belgium,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.042682935,0.05862172,0.028971947
All Population,Prevalence,Belgium,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,4206.834772,5798.420136,2844.516612
All Population,Prevalence,Belgium,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,30435.281492748098,39464.30596366212,23265.15665501564
All Population,Prevalence,Belgium,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.039831506,0.051624512,0.03056831
All Population,Prevalence,Belgium,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,3945.964114,5116.585997,3016.350392
All Population,Prevalence,Belgium,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,30509.833335455973,37472.93241605012,22878.330910226054
All Population,Prevalence,Belgium,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.037427404,0.045954109,0.028025591
All Population,Prevalence,Belgium,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,3716.9241004126898,4565.218173,2787.2003954414504
All Population,Prevalence,Belgium,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,28073.15013,34254.44479658688,22694.44714781872
All Population,Prevalence,Belgium,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.036269104,0.044264585,0.029377099
All Population,Prevalence,Belgium,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,3609.129829,4403.807122,2917.635027
All Population,Prevalence,Belgium,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,24662.73796,30851.826221841155,20182.81049159341
All Population,Prevalence,Belgium,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.034954489,0.043765997,0.028600442
All Population,Prevalence,Belgium,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,3483.7774748202396,4358.027783454941,2850.957614
All Population,Prevalence,Austria,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,10071.231066536604,15114.45815903266,6061.870754849083
All Population,Prevalence,Austria,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.02229126,0.033289227,0.013527801
All Population,Prevalence,Austria,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,2073.3087121765902,3111.530018,1247.92385
All Population,Prevalence,Austria,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,29854.51118539781,43390.312858048565,18996.62940033186
All Population,Prevalence,Austria,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.059409793,0.086375918,0.037761859
All Population,Prevalence,Austria,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,5723.82066,8318.956141,3642.1061847159904
All Population,Prevalence,Austria,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,30182.707505422422,39171.99542,23268.435889802782
All Population,Prevalence,Austria,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.06082699,0.079085312,0.047080835
All Population,Prevalence,Austria,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,5946.839786331419,7717.981589814959,4584.534382
All Population,Prevalence,Austria,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,30944.784386753665,41175.47867438914,21853.80574464913
All Population,Prevalence,Austria,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.053061336,0.070577615,0.037506397
All Population,Prevalence,Austria,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,5226.541596,6954.49512,3691.0848471690397
All Population,Prevalence,Austria,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,32599.22649055819,41093.65889980974,24858.123317261547
All Population,Prevalence,Austria,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.046895854,0.058975231,0.035891263
All Population,Prevalence,Austria,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,4643.744975,5853.773005,3541.028351
All Population,Prevalence,Austria,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,28719.83917320676,35811.67405758993,22443.84364201237
All Population,Prevalence,Austria,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.041460221,0.05163013,0.032421275
All Population,Prevalence,Austria,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,4117.050769,5133.680565,3217.3732992607797
All Population,Prevalence,Austria,Both Sexes,45-49 years,Alcohol use disorders,Number,2005,23482.27981196468,28207.404202890502,19244.50174344864
All Population,Prevalence,Austria,Both Sexes,45-49 years,Alcohol use disorders,Percent,2005,0.039497379,0.047534374,0.032360958
All Population,Prevalence,Austria,Both Sexes,45-49 years,Alcohol use disorders,Rate,2005,3931.794608,4722.953676,3222.2351831499304
All Population,Prevalence,Austria,Both Sexes,50-54 years,Alcohol use disorders,Number,2005,19075.32679264049,23181.37007712013,15683.530741139415
All Population,Prevalence,Austria,Both Sexes,50-54 years,Alcohol use disorders,Percent,2005,0.038001218,0.046209125,0.031221575
All Population,Prevalence,Austria,Both Sexes,50-54 years,Alcohol use disorders,Rate,2005,3789.497328,4605.202359740731,3115.684385
All Population,Prevalence,Lithuania,Both Sexes,15-19 years,Alcohol use disorders,Number,2005,2496.165986658283,3466.583699606981,1635.259912112477
All Population,Prevalence,Lithuania,Both Sexes,15-19 years,Alcohol use disorders,Percent,2005,0.010168662,0.013896603,0.006684709
All Population,Prevalence,Lithuania,Both Sexes,15-19 years,Alcohol use disorders,Rate,2005,964.2028925,1339.049586,631.6576485
All Population,Prevalence,Lithuania,Both Sexes,20-24 years,Alcohol use disorders,Number,2005,5527.754195275364,7307.452306125397,3869.8244974215954
All Population,Prevalence,Lithuania,Both Sexes,20-24 years,Alcohol use disorders,Percent,2005,0.024925147,0.032873507,0.017486371
All Population,Prevalence,Lithuania,Both Sexes,20-24 years,Alcohol use disorders,Rate,2005,2427.966438,3209.666768,1699.750688
All Population,Prevalence,Lithuania,Both Sexes,25-29 years,Alcohol use disorders,Number,2005,6475.716593972494,7875.292963854365,4946.356400785071
All Population,Prevalence,Lithuania,Both Sexes,25-29 years,Alcohol use disorders,Percent,2005,0.031514245,0.038432365,0.024042336
All Population,Prevalence,Lithuania,Both Sexes,25-29 years,Alcohol use disorders,Rate,2005,3107.4754658840498,3779.084417,2373.587685
All Population,Prevalence,Lithuania,Both Sexes,30-34 years,Alcohol use disorders,Number,2005,8017.016490273246,9766.112869426886,6441.258255343931
All Population,Prevalence,Lithuania,Both Sexes,30-34 years,Alcohol use disorders,Percent,2005,0.035358787,0.043046636,0.028446272
All Population,Prevalence,Lithuania,Both Sexes,30-34 years,Alcohol use disorders,Rate,2005,3507.281391,4272.4754235048995,2817.9192643326496
All Population,Prevalence,Lithuania,Both Sexes,35-39 years,Alcohol use disorders,Number,2005,9400.380742617122,11371.86761505628,7753.265223326674
All Population,Prevalence,Lithuania,Both Sexes,35-39 years,Alcohol use disorders,Percent,2005,0.03956848,0.047890065,0.032619636
All Population,Prevalence,Lithuania,Both Sexes,35-39 years,Alcohol use disorders,Rate,2005,3939.3181459981197,4765.488301,3249.078864
All Population,Prevalence,Lithuania,Both Sexes,40-44 years,Alcohol use disorders,Number,2005,11991.236789802031,14389.771232024104,9681.493291571522
All Population,Prevalence,Lithuania,Both Sexes,40-44 years,Alcohol use disorders,Percent,2005,0.04635015,0.055608682,0.037436864
All Population,Prevalence,Lithuania,Both Sexes,40-44 years,Alcohol use disorders,Rate,2005,4622.482432,5547.089587,3732.103155
