population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Portugal,Both,15-19 years,Alcohol use disorders,Number,2005,11114.86733,17630.65612,6407.451943
All Population,Prevalence,Portugal,Both,15-19 years,Alcohol use disorders,Percent,2005,0.018867313,0.029897822,0.010934223
All Population,Prevalence,Portugal,Both,15-19 years,Alcohol use disorders,Rate,2005,1773.830109,2813.689785,1022.570116
All Population,Prevalence,Portugal,Both,20-24 years,Alcohol use disorders,Number,2005,35260.34043,55687.23722,20203.47638
All Population,Prevalence,Portugal,Both,20-24 years,Alcohol use disorders,Percent,2005,0.050310182,0.079126065,0.028768818
All Population,Prevalence,Portugal,Both,20-24 years,Alcohol use disorders,Rate,2005,4861.680886,7678.132811,2785.646814
All Population,Prevalence,Portugal,Both,25-29 years,Alcohol use disorders,Number,2005,44445.26623,61112.90728,29967.18714
All Population,Prevalence,Portugal,Both,25-29 years,Alcohol use disorders,Percent,2005,0.054859566,0.075090574,0.03693182
All Population,Prevalence,Portugal,Both,25-29 years,Alcohol use disorders,Rate,2005,5366.234452,7378.652809,3618.179521
All Population,Prevalence,Portugal,Both,30-34 years,Alcohol use disorders,Number,2005,42567.36064,62628.30295,25464.56328
All Population,Prevalence,Portugal,Both,30-34 years,Alcohol use disorders,Percent,2005,0.051849692,0.075864435,0.031091722
All Population,Prevalence,Portugal,Both,30-34 years,Alcohol use disorders,Rate,2005,5104.715038,7510.440749,3053.732652
All Population,Prevalence,Portugal,Both,35-39 years,Alcohol use disorders,Number,2005,38450.01966,51471.34858,27485.60765
All Population,Prevalence,Portugal,Both,35-39 years,Alcohol use disorders,Percent,2005,0.048507736,0.064843217,0.034704371
All Population,Prevalence,Portugal,Both,35-39 years,Alcohol use disorders,Rate,2005,4800.161147,6425.764403,3431.346645
All Population,Prevalence,Portugal,Both,40-44 years,Alcohol use disorders,Number,2005,36269.86574,49403.35316,26610.69405
All Population,Prevalence,Portugal,Both,40-44 years,Alcohol use disorders,Percent,2005,0.045863552,0.062538091,0.03364913
All Population,Prevalence,Portugal,Both,40-44 years,Alcohol use disorders,Rate,2005,4549.874758,6197.405613,3338.17958
All Population,Prevalence,Portugal,Both,45-49 years,Alcohol use disorders,Number,2005,33140.2694,44077.17611,24925.11181
All Population,Prevalence,Portugal,Both,45-49 years,Alcohol use disorders,Percent,2005,0.044974727,0.05974814,0.033815194
All Population,Prevalence,Portugal,Both,45-49 years,Alcohol use disorders,Rate,2005,4471.702796,5947.448081,3363.210203
All Population,Prevalence,Portugal,Both,50-54 years,Alcohol use disorders,Number,2005,29847.19831,39485.90369,21746.52595
All Population,Prevalence,Portugal,Both,50-54 years,Alcohol use disorders,Percent,2005,0.043231364,0.057206511,0.031508465
All Population,Prevalence,Portugal,Both,50-54 years,Alcohol use disorders,Rate,2005,4305.376856,5695.733788,3136.876988
All Population,Prevalence,Belgium,Both,15-19 years,Alcohol use disorders,Number,2005,10352.90074,16490.36907,6084.523505
All Population,Prevalence,Belgium,Both,15-19 years,Alcohol use disorders,Percent,2005,0.017701161,0.028018758,0.010533493
All Population,Prevalence,Belgium,Both,15-19 years,Alcohol use disorders,Rate,2005,1656.051683,2637.802113,973.2813674
All Population,Prevalence,Belgium,Both,20-24 years,Alcohol use disorders,Number,2005,27828.54346,42884.58438,17119.14173
All Population,Prevalence,Belgium,Both,20-24 years,Alcohol use disorders,Percent,2005,0.044831881,0.068838184,0.027862107
All Population,Prevalence,Belgium,Both,20-24 years,Alcohol use disorders,Rate,2005,4329.466575,6671.832284,2663.335652
All Population,Prevalence,Belgium,Both,25-29 years,Alcohol use disorders,Number,2005,30152.57859,40299.72587,21753.14811
All Population,Prevalence,Belgium,Both,25-29 years,Alcohol use disorders,Percent,2005,0.046660479,0.062310584,0.033793997
All Population,Prevalence,Belgium,Both,25-29 years,Alcohol use disorders,Rate,2005,4564.919876,6101.137223,3293.296389
All Population,Prevalence,Belgium,Both,30-34 years,Alcohol use disorders,Number,2005,30109.00889,41500.24732,20358.67359
All Population,Prevalence,Belgium,Both,30-34 years,Alcohol use disorders,Percent,2005,0.042682935,0.05862172,0.028971947
All Population,Prevalence,Belgium,Both,30-34 years,Alcohol use disorders,Rate,2005,4206.834772,5798.420136,2844.516612
All Population,Prevalence,Belgium,Both,35-39 years,Alcohol use disorders,Number,2005,30435.28149,39464.30596,23265.15666
All Population,Prevalence,Belgium,Both,35-39 years,Alcohol use disorders,Percent,2005,0.039831506,0.051624512,0.03056831
All Population,Prevalence,Belgium,Both,35-39 years,Alcohol use disorders,Rate,2005,3945.964114,5116.585997,3016.350392
All Population,Prevalence,Belgium,Both,40-44 years,Alcohol use disorders,Number,2005,30509.83334,37472.93242,22878.33091
All Population,Prevalence,Belgium,Both,40-44 years,Alcohol use disorders,Percent,2005,0.037427404,0.045954109,0.028025591
All Population,Prevalence,Belgium,Both,40-44 years,Alcohol use disorders,Rate,2005,3716.9241,4565.218173,2787.200395
All Population,Prevalence,Belgium,Both,45-49 years,Alcohol use disorders,Number,2005,28073.15013,34254.4448,22694.44715
All Population,Prevalence,Belgium,Both,45-49 years,Alcohol use disorders,Percent,2005,0.036269104,0.044264585,0.029377099
All Population,Prevalence,Belgium,Both,45-49 years,Alcohol use disorders,Rate,2005,3609.129829,4403.807122,2917.635027
All Population,Prevalence,Belgium,Both,50-54 years,Alcohol use disorders,Number,2005,24662.73796,30851.82622,20182.81049
All Population,Prevalence,Belgium,Both,50-54 years,Alcohol use disorders,Percent,2005,0.034954489,0.043765997,0.028600442
All Population,Prevalence,Belgium,Both,50-54 years,Alcohol use disorders,Rate,2005,3483.777475,4358.027783,2850.957614
All Population,Prevalence,Austria,Both,15-19 years,Alcohol use disorders,Number,2005,10071.23107,15114.45816,6061.870755
