Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20084217,SA_0000001476,COUNTRY,BTN,YEAR,2017,,,,,,,DATASOURCE,SA_0000001476_BTN,3.2,3.2,,,,2018-10-29T13:25:46Z,2017,2017-01-01,2017-12-31
20082147,SA_0000001476,COUNTRY,AUS,YEAR,1991,,,,,,,DATASOURCE,SA_0000001476_AUS,4.1,4.1,,,,2018-10-25T13:07:00Z,1991,1991-01-01,1991-12-31
20082148,SA_0000001476,COUNTRY,AUS,YEAR,1994,,,,,,,DATASOURCE,SA_0000001476_AUS,2.9,2.9,,,,2018-10-25T13:07:00Z,1994,1994-01-01,1994-12-31
20082149,SA_0000001476,COUNTRY,AUT,YEAR,2004,,,,,,,DATASOURCE,SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:00Z,2004,2004-01-01,2004-12-31
20082150,SA_0000001476,COUNTRY,AUT,YEAR,2006,,,,,,,DATASOURCE,SA_0000001476_AUT,1.3,1.3,,,,2018-10-25T13:07:00Z,2006,2006-01-01,2006-12-31
20082151,SA_0000001476,COUNTRY,AUT,YEAR,2008,,,,,,,DATASOURCE,SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:00Z,2008,2008-01-01,2008-12-31
20082152,SA_0000001476,COUNTRY,AZE,YEAR,2008,,,,,,,DATASOURCE,SA_0000001476_AZE,0.6,0.6,,,,2018-10-25T13:07:00Z,2008,2008-01-01,2008-12-31
20082153,SA_0000001476,COUNTRY,AZE,YEAR,2010,,,,,,,DATASOURCE,SA_0000001476_AZE,0.5,0.5,,,,2018-10-25T13:07:00Z,2010,2010-01-01,2010-12-31
20082154,SA_0000001476,COUNTRY,BLR,YEAR,2011,,,,,,,DATASOURCE,SA_0000001476_BLR,2.2,2.2,,,,2018-10-25T13:07:00Z,2011,2011-01-01,2011-12-31
20082155,SA_0000001476,COUNTRY,CAN,YEAR,2002,,,,,,,DATASOURCE,SA_0000001476_CAN,2.1,2.1,,,,2018-10-25T13:07:00Z,2002,2002-01-01,2002-12-31
