Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20083918,SA_0000001474,COUNTRY,ESP,YEAR,2016,,,,,,,DATASOURCE,SA_0000001474_ESP,0.6,0.6,,,,2018-10-26T10:40:42Z,2016,2016-01-01,2016-12-31
20083919,SA_0000001474,COUNTRY,NOR,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_NOR,1.5,1.5,,,,2018-10-26T10:40:42Z,2015,2015-01-01,2015-12-31
20083920,SA_0000001474,COUNTRY,ZAF,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_ZAF,1.7,1.7,,,,2018-10-26T10:40:42Z,2015,2015-01-01,2015-12-31
20083921,SA_0000001474,COUNTRY,EST,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_EST,2.7,2.7,,,,2018-10-26T10:40:42Z,2015,2015-01-01,2015-12-31
20083922,SA_0000001474,COUNTRY,ISL,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_ISL,2.5,2.5,,,,2018-10-26T10:40:42Z,2015,2015-01-01,2015-12-31
20083923,SA_0000001474,COUNTRY,ESP,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_ESP,0.6,0.6,,,,2018-10-26T10:40:43Z,2015,2015-01-01,2015-12-31
20083924,SA_0000001474,COUNTRY,GBR,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_GBR,3.1,3.1,,,,2018-10-26T10:40:43Z,2015,2015-01-01,2015-12-31
20083925,SA_0000001474,COUNTRY,SWE,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_SWE,1.6,1.6,,,,2018-10-26T10:40:43Z,2015,2015-01-01,2015-12-31
20083926,SA_0000001474,COUNTRY,FIN,YEAR,2015,,,,,,,DATASOURCE,SA_0000001474_FIN,4.6,4.6,,,,2018-10-26T10:40:43Z,2015,2015-01-01,2015-12-31
20083927,SA_0000001474,COUNTRY,GBR,YEAR,2014,,,,,,,DATASOURCE,SA_0000001474_GBR,3.1,3.1,,,,2018-10-26T10:40:43Z,2014,2014-01-01,2014-12-31
