Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20080828,SA_0000001475,COUNTRY,NOR,YEAR,1992,,,,,,,DATASOURCE,SA_0000001475_NOR,980.55,980.55,,,,2018-10-25T12:56:44Z,1992,1992-01-01,1992-12-31
20080829,SA_0000001475,COUNTRY,NOR,YEAR,2007,,,,,,,DATASOURCE,SA_0000001475_NOR,2606.48,2606.48,,,,2018-10-25T12:56:44Z,2007,2007-01-01,2007-12-31
20080830,SA_0000001475,COUNTRY,PRT,YEAR,2005,,,,,,,DATASOURCE,SA_0000001475_PRT,251.11,251.11,,,,2018-10-25T12:56:44Z,2005,2005-01-01,2005-12-31
20080831,SA_0000001475,COUNTRY,PRT,YEAR,2007,,,,,,,DATASOURCE,SA_0000001475_PRT,274.57,274.57,,,,2018-10-25T12:56:44Z,2007,2007-01-01,2007-12-31
20080832,SA_0000001475,COUNTRY,RWA,YEAR,2008,,,,,,,DATASOURCE,SA_0000001475_RWA,3.54,3.54,,,,2018-10-25T12:56:44Z,2008,2008-01-01,2008-12-31
20080833,SA_0000001475,COUNTRY,SGP,YEAR,2003,,,,,,,DATASOURCE,SA_0000001475_SGP,202.2,202.2,,,,2018-10-25T12:56:44Z,2003,2003-01-01,2003-12-31
20080834,SA_0000001475,COUNTRY,NOR,YEAR,1990,,,,,,,DATASOURCE,SA_0000001475_NOR,869.02,869.02,,,,2018-10-25T12:56:44Z,1990,1990-01-01,1990-12-31
20080835,SA_0000001475,COUNTRY,DEU,YEAR,2006,,,,,,,DATASOURCE,SA_0000001475_DEU,4325.62,4325.62,,,,2018-10-25T12:56:44Z,2006,2006-01-01,2006-12-31
20080836,SA_0000001475,COUNTRY,SWE,YEAR,2005,,,,,,,DATASOURCE,SA_0000001475_SWE,1303.37,1303.37,,,,2018-10-25T12:56:44Z,2005,2005-01-01,2005-12-31
20080837,SA_0000001475,COUNTRY,THA,YEAR,1993,,,,,,,DATASOURCE,SA_0000001475_THA,657.94,657.94,,,,2018-10-25T12:56:44Z,1993,1993-01-01,1993-12-31
20080838,SA_0000001475,COUNTRY,THA,YEAR,1995,,,,,,,DATASOURCE,SA_0000001475_THA,800.52,800.52,,,,2018-10-25T12:56:44Z,1995,1995-01-01,1995-12-31
20080839,SA_0000001475,COUNTRY,TUR,YEAR,2003,,,,,,,DATASOURCE,SA_0000001475_TUR,1060.78,1060.78,,,,2018-10-25T12:56:44Z,2003,2003-01-01,2003-12-31
20080840,SA_0000001475,COUNTRY,TUR,YEAR,2005,,,,,,,DATASOURCE,SA_0000001475_TUR,1464.27,1464.27,,,,2018-10-25T12:56:44Z,2005,2005-01-01,2005-12-31
20080841,SA_0000001475,COUNTRY,UGA,YEAR,2000,,,,,,,DATASOURCE,SA_0000001475_UGA,39.34,39.34,,,,2018-10-25T12:56:44Z,2000,2000-01-01,2000-12-31
20080842,SA_0000001475,COUNTRY,UGA,YEAR,2002,,,,,,,DATASOURCE,SA_0000001475_UGA,32.14,32.14,,,,2018-10-25T12:56:44Z,2002,2002-01-01,2002-12-31
20080843,SA_0000001475,COUNTRY,GBR,YEAR,1994,,,,,,,DATASOURCE,SA_0000001475_GBR,7713.08,7713.08,,,,2018-10-25T12:56:44Z,1994,1994-01-01,1994-12-31
20080844,SA_0000001475,COUNTRY,BRB,YEAR,2007,,,,,,,DATASOURCE,SA_0000001475_BRB,2.63,2.63,,,,2018-10-25T12:56:44Z,2007,2007-01-01,2007-12-31
20080845,SA_0000001475,COUNTRY,DNK,YEAR,2002,,,,,,,DATASOURCE,SA_0000001475_DNK,579.69,579.69,,,,2018-10-25T12:56:44Z,2002,2002-01-01,2002-12-31
20080846,SA_0000001475,COUNTRY,FIN,YEAR,2001,,,,,,,DATASOURCE,SA_0000001475_FIN,1300.43,1300.43,,,,2018-10-25T12:56:45Z,2001,2001-01-01,2001-12-31
20080847,SA_0000001475,COUNTRY,DEU,YEAR,2002,,,,,,,DATASOURCE,SA_0000001475_DEU,3408.47,3408.47,,,,2018-10-25T12:56:45Z,2002,2002-01-01,2002-12-31
20080848,SA_0000001475,COUNTRY,IRL,YEAR,2000,,,,,,,DATASOURCE,SA_0000001475_IRL,880.15,880.15,,,,2018-10-25T12:56:45Z,2000,2000-01-01,2000-12-31
