Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20082657,SA_0000001829,COUNTRY,COD,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_COD,0.51,0.51,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082658,SA_0000001829,COUNTRY,MWI,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_MWI,1.17,1.17,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082659,SA_0000001829,COUNTRY,MLI,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_MLI,0.87,0.87,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082660,SA_0000001829,COUNTRY,ZMB,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_ZMB,1.08,1.08,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082661,SA_0000001829,COUNTRY,ZWE,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_ZWE,1.08,1.08,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082662,SA_0000001829,COUNTRY,DOM,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_DOM,1.06,1.06,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082663,SA_0000001829,COUNTRY,GRD,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_GRD,1.74,1.74,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082664,SA_0000001829,COUNTRY,SUR,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_SUR,0.87,0.87,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082665,SA_0000001829,COUNTRY,QAT,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_QAT,7.39,7.39,,,,2018-10-26T09:15:02Z,2016,2016-01-01,2016-12-31
20082666,SA_0000001829,COUNTRY,SAU,YEAR,2016,,,,,,,DATASOURCE,SA_0000001829_SAU,1.27,1.27,,,,2018-10-26T09:15:03Z,2016,2016-01-01,2016-12-31
