Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20082835,SA_0000001831,COUNTRY,ZMB,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_ZMB,5.11,5.11,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082836,SA_0000001831,COUNTRY,COL,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_COL,15.48,15.48,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082837,SA_0000001831,COUNTRY,NIC,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_NIC,19.82,19.82,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082838,SA_0000001831,COUNTRY,AUT,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_AUT,15.77,15.77,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082839,SA_0000001831,COUNTRY,CYP,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_CYP,13.43,13.43,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082840,SA_0000001831,COUNTRY,DEU,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_DEU,12.97,12.97,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082841,SA_0000001831,COUNTRY,LUX,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_LUX,11.95,11.95,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082842,SA_0000001831,COUNTRY,PRT,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_PRT,13.32,13.32,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082843,SA_0000001831,COUNTRY,SVN,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_SVN,14.89,14.89,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082844,SA_0000001831,COUNTRY,CHN,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_CHN,11.71,11.71,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082848,SA_0000001831,COUNTRY,NZL,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_NZL,24.6,24.6,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082849,SA_0000001831,COUNTRY,SGP,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_SGP,39.31,39.31,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082859,SA_0000001831,COUNTRY,ARG,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_ARG,14.18,14.18,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082860,SA_0000001831,COUNTRY,EST,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_EST,19.77,19.77,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082861,SA_0000001831,COUNTRY,FRA,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_FRA,17.61,17.61,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082862,SA_0000001831,COUNTRY,NLD,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_NLD,13.06,13.06,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082863,SA_0000001831,COUNTRY,MKD,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_MKD,13.85,13.85,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082864,SA_0000001831,COUNTRY,THA,YEAR,2016,,,,,,,DATASOURCE,SA_0000001831_THA,17.22,17.22,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
