Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20082824,SA_0000001830,COUNTRY,NAM,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_NAM,4.64,4.64,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082825,SA_0000001830,COUNTRY,ZWE,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_ZWE,8.32,8.32,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082826,SA_0000001830,COUNTRY,CRI,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_CRI,11.74,11.74,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082827,SA_0000001830,COUNTRY,GTM,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_GTM,8.27,8.27,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082828,SA_0000001830,COUNTRY,PAN,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_PAN,8.14,8.14,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082829,SA_0000001830,COUNTRY,MLT,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_MLT,5.85,5.85,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082830,SA_0000001830,COUNTRY,MDA,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_MDA,2.24,2.24,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082831,SA_0000001830,COUNTRY,ESP,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_ESP,7.61,7.61,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082832,SA_0000001830,COUNTRY,BTN,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_BTN,5.42,5.42,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082833,SA_0000001830,COUNTRY,LKA,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_LKA,10.23,10.23,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082834,SA_0000001830,COUNTRY,COK,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_COK,10.64,10.64,,,,2018-10-26T09:25:45Z,2016,2016-01-01,2016-12-31
20082845,SA_0000001830,COUNTRY,GRC,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_GRC,10.14,10.14,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082846,SA_0000001830,COUNTRY,CZE,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_CZE,4.33,4.33,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082847,SA_0000001830,COUNTRY,AZE,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_AZE,3.9,3.9,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082850,SA_0000001830,COUNTRY,MWI,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_MWI,14.59,14.59,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082851,SA_0000001830,COUNTRY,TZA,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_TZA,9.49,9.49,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
20082852,SA_0000001830,COUNTRY,DMA,YEAR,2016,,,,,,,DATASOURCE,SA_0000001830_DMA,9.64,9.64,,,,2018-10-26T09:25:46Z,2016,2016-01-01,2016-12-31
