Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20083023,SA_0000001547,COUNTRY,AUT,YEAR,2010,ALCOHOLTYPE,SA_BEER,,,,,,,24,24,,,,2018-10-26T09:36:11Z,2010,2010-01-01,2010-12-31
20083024,SA_0000001547,COUNTRY,AUT,YEAR,2010,ALCOHOLTYPE,SA_SPIRITS,,,,,,,1000,1000,,,,2018-10-26T09:36:11Z,2010,2010-01-01,2010-12-31
20083025,SA_0000001547,COUNTRY,BGR,YEAR,2012,ALCOHOLTYPE,SA_BEER,,,,,,,9.2,9.2,,,,2018-10-26T09:36:11Z,2012,2012-01-01,2012-12-31
20083026,SA_0000001547,COUNTRY,HRV,YEAR,2010,ALCOHOLTYPE,SA_BEER,,,,,,,27.3,27.3,,,,2018-10-26T09:36:11Z,2010,2010-01-01,2010-12-31
20083027,SA_0000001547,COUNTRY,CYP,YEAR,2011,ALCOHOLTYPE,SA_SPIRITS,,,,,,,598.01,598.01,,,,2018-10-26T09:36:11Z,2011,2011-01-01,2011-12-31
20083028,SA_0000001547,COUNTRY,CZE,YEAR,2011,ALCOHOLTYPE,SA_SPIRITS,,,,,,,1145.59,1145.59,,,,2018-10-26T09:36:11Z,2011,2011-01-01,2011-12-31
20083029,SA_0000001547,COUNTRY,CZE,YEAR,2012,ALCOHOLTYPE,SA_WINE,,,,,,,0,0,,,,2018-10-26T09:36:11Z,2012,2012-01-01,2012-12-31
20083030,SA_0000001547,COUNTRY,DNK,YEAR,2012,ALCOHOLTYPE,SA_WINE,,,,,,,172.7,172.7,,,,2018-10-26T09:36:11Z,2012,2012-01-01,2012-12-31
20083031,SA_0000001547,COUNTRY,EST,YEAR,2008,ALCOHOLTYPE,SA_WINE,,,,,,,66.5,66.5,,,,2018-10-26T09:36:11Z,2008,2008-01-01,2008-12-31
20083032,SA_0000001547,COUNTRY,FIN,YEAR,2008,ALCOHOLTYPE,SA_WINE,,,,,,,257,257,,,,2018-10-26T09:36:12Z,2008,2008-01-01,2008-12-31
