Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8060337,SA_0000001688,COUNTRY,UZB,EUR,Europe,YEAR,2017,SEX,SEX_BTSX,,,,,,,2.8 [1.9 - 3.6],2.755195578,1.942709764,3.611217287,,2025-05-13T09:35:54Z,2017,2017-01-01,2017-12-31
9768406,SA_0000001688,COUNTRY,GNB,AFR,Africa,YEAR,2007,SEX,SEX_BTSX,,,,,,,2.9 [1.9 - 3.9],2.905023465,1.88052295,3.910573675,,2025-05-13T09:35:54Z,2007,2007-01-01,2007-12-31
6536843,SA_0000001688,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2000,SEX,SEX_BTSX,,,,,,,1.3 [0.8 - 2.1],1.346784386,0.757817853,2.056903561,,2025-05-13T09:35:54Z,2000,2000-01-01,2000-12-31
6536847,SA_0000001688,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2002,SEX,SEX_BTSX,,,,,,,0.1 [0.0 - 0.3],0.075991438,0.021509144,0.261397747,,2025-05-13T09:35:54Z,2002,2002-01-01,2002-12-31
8245021,SA_0000001688,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2012,SEX,SEX_BTSX,,,,,,,0.2 [0.0 - 0.6],0.222215462,0.012934859,0.616850968,,2025-05-13T09:35:54Z,2012,2012-01-01,2012-12-31
6676307,SA_0000001688,GLOBAL,GLOBAL,,,YEAR,2021,SEX,SEX_BTSX,,,,,,,5.0 [4.7 - 5.4],5.02204232,4.679637593,5.403179668,,2025-05-13T09:35:54Z,2021,2021-01-01,2021-12-31
5567006,SA_0000001688,UNREGION,154,,,YEAR,2019,SEX,SEX_BTSX,,,,,,,10.4 [9.3 - 11.5],10.39808224,9.303692083,11.49304312,,2025-05-13T09:35:54Z,2019,2019-01-01,2019-12-31
7456752,SA_0000001688,COUNTRY,BWA,AFR,Africa,YEAR,2014,SEX,SEX_BTSX,,,,,,,5.4 [4.1 - 6.7],5.353269599,4.091290489,6.748630717,,2025-05-13T09:35:54Z,2014,2014-01-01,2014-12-31
7507644,SA_0000001688,COUNTRY,MOZ,AFR,Africa,YEAR,2014,SEX,SEX_BTSX,,,,,,,1.7 [1.0 - 2.5],1.670729599,1.00924339,2.46376715,,2025-05-13T09:35:54Z,2014,2014-01-01,2014-12-31
4756317,SA_0000001688,UNREGION,142,,,YEAR,2005,SEX,SEX_BTSX,,,,,,,2.9 [2.5 - 3.5],2.949167444,2.513822335,3.480440766,,2025-05-13T09:35:54Z,2005,2005-01-01,2005-12-31
1507470,SA_0000001688,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2014,SEX,SEX_BTSX,,,,,,,0.4 [0.2 - 0.8],0.42478923,0.179357886,0.807243038,,2025-05-13T09:35:54Z,2014,2014-01-01,2014-12-31
1615586,SA_0000001688,COUNTRY,ISR,EUR,Europe,YEAR,2003,SEX,SEX_BTSX,,,,,,,2.8 [2.0 - 3.8],2.766409028,1.97323022,3.794542856,,2025-05-13T09:35:54Z,2003,2003-01-01,2003-12-31
93900,SA_0000001688,UNREGION,9,,,YEAR,2002,SEX,SEX_BTSX,,,,,,,8.8 [7.6 - 10.0],8.760364359,7.59817764,9.99348919,,2025-05-13T09:35:54Z,2002,2002-01-01,2002-12-31
3445916,SA_0000001688,COUNTRY,VCT,AMR,Americas,YEAR,2011,SEX,SEX_BTSX,,,,,,,6.6 [5.4 - 7.9],6.579743174,5.35446332,7.947748047,,2025-05-13T09:35:54Z,2011,2011-01-01,2011-12-31
9561289,SA_0000001688,COUNTRY,SYC,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,11.7 [9.9 - 13.6],11.728249138,9.927261567,13.63438943,,2025-05-13T09:35:54Z,2019,2019-01-01,2019-12-31
3490536,SA_0000001688,UNREGION,35,,,YEAR,2022,SEX,SEX_BTSX,,,,,,,3.8 [3.4 - 4.3],3.841630761,3.42807469,4.306729746,,2025-05-13T09:35:54Z,2022,2022-01-01,2022-12-31
259595,SA_0000001688,REGION,EUR,,,YEAR,2010,SEX,SEX_BTSX,,,,,,,10.4 [9.9 - 10.9],10.38330648,9.913573702,10.89936669,,2025-05-13T09:35:54Z,2010,2010-01-01,2010-12-31
1952957,SA_0000001688,COUNTRY,NIU,WPR,Western Pacific,YEAR,2006,SEX,SEX_BTSX,,,,,,,3.5 [2.4 - 4.7],3.522686071,2.448374991,4.696912278,,2025-05-13T09:35:54Z,2006,2006-01-01,2006-12-31
2016584,SA_0000001688,COUNTRY,BFA,AFR,Africa,YEAR,2012,SEX,SEX_BTSX,,,,,,,16.7 [14.1 - 19.5],16.723185228,14.066353946,19.485216444,,2025-05-13T09:35:54Z,2012,2012-01-01,2012-12-31
6517730,SA_0000001688,COUNTRY,AGO,AFR,Africa,YEAR,2008,SEX,SEX_BTSX,,,,,,,7.7 [6.3 - 9.2],7.711333869,6.312812596,9.225581309,,2025-05-13T09:35:54Z,2008,2008-01-01,2008-12-31
9837288,SA_0000001688,UNREGION,14,,,YEAR,2017,SEX,SEX_BTSX,,,,,,,3.4 [3.0 - 3.9],3.449704516,3.040036629,3.853974246,,2025-05-13T09:35:54Z,2017,2017-01-01,2017-12-31
3911114,SA_0000001688,COUNTRY,NIC,AMR,Americas,YEAR,2021,SEX,SEX_BTSX,,,,,,,3.9 [2.9 - 5.0],3.932428943,2.923233602,5.031463399,,2025-05-13T09:35:54Z,2021,2021-01-01,2021-12-31
3999895,SA_0000001688,UNREGION,11,,,YEAR,2018,SEX,SEX_BTSX,,,,,,,2.9 [2.5 - 3.4],2.891710881,2.467790726,3.395324961,,2025-05-13T09:35:54Z,2018,2018-01-01,2018-12-31
2390766,SA_0000001688,COUNTRY,VNM,WPR,Western Pacific,YEAR,2016,SEX,SEX_BTSX,,,,,,,11.1 [8.7 - 13.5],11.076439619,8.678079049,13.521979738,,2025-05-13T09:35:54Z,2016,2016-01-01,2016-12-31
5274229,SA_0000001688,COUNTRY,AGO,AFR,Africa,YEAR,2013,SEX,SEX_BTSX,,,,,,,8.7 [7.1 - 10.4],8.748187928,7.103600778,10.394490477,,2025-05-13T09:35:54Z,2013,2013-01-01,2013-12-31
8601168,SA_0000001688,COUNTRY,ZMB,AFR,Africa,YEAR,2011,SEX,SEX_BTSX,,,,,,,3.3 [2.4 - 4.4],3.29593001,2.355819549,4.352768631,,2025-05-13T09:35:54Z,2011,2011-01-01,2011-12-31
4145946,SA_0000001688,UNREGION,14,,,YEAR,2008,SEX,SEX_BTSX,,,,,,,3.4 [3.1 - 3.9],3.407148036,3.055397984,3.851534287,,2025-05-13T09:35:54Z,2008,2008-01-01,2008-12-31
8728426,SA_0000001688,COUNTRY,KOR,WPR,Western Pacific,YEAR,2003,SEX,SEX_BTSX,,,,,,,10.0 [8.3 - 11.7],10.0250642,8.3354119270000009,11.721134307,,2025-05-13T09:35:54Z,2003,2003-01-01,2003-12-31
5636940,SA_0000001688,COUNTRY,MDG,AFR,Africa,YEAR,2013,SEX,SEX_BTSX,,,,,,,0.9 [0.5 - 1.5],0.929831524,0.50420021,1.512487233,,2025-05-13T09:35:54Z,2013,2013-01-01,2013-12-31
2918151,SA_0000001688,COUNTRY,MDG,AFR,Africa,YEAR,2021,SEX,SEX_BTSX,,,,,,,0.9 [0.4 - 1.4],0.861334428,0.419341491,1.408497681,,2025-05-13T09:35:54Z,2021,2021-01-01,2021-12-31
5884819,SA_0000001688,COUNTRY,BIH,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,,,,,,,4.7 [3.4 - 6.1],4.696668053,3.427584436,6.058445357,,2025-05-13T09:35:54Z,2000,2000-01-01,2000-12-31
9230671,SA_0000001688,UNREGION,155,,,YEAR,2006,SEX,SEX_BTSX,,,,,,,12.6 [11.6 - 13.7],12.55902303,11.58929953,13.66881,,2025-05-13T09:35:54Z,2006,2006-01-01,2006-12-31
6024750,SA_0000001688,COUNTRY,DEU,EUR,Europe,YEAR,2014,SEX,SEX_BTSX,,,,,,,12.0 [10.1 - 13.6],12.027308308,10.096519257,13.632892222,,2025-05-13T09:35:54Z,2014,2014-01-01,2014-12-31
5061469,SA_0000001688,UNREGION,9,,,YEAR,2009,SEX,SEX_BTSX,,,,,,,8.9 [7.8 - 10.1],8.909283971,7.787106995,10.08805842,,2025-05-13T09:35:54Z,2009,2009-01-01,2009-12-31
195893,SA_0000001688,COUNTRY,VUT,WPR,Western Pacific,YEAR,2004,SEX,SEX_BTSX,,,,,,,1.6 [0.9 - 2.3],1.584122298,0.881943631,2.340966944,,2025-05-13T09:35:54Z,2004,2004-01-01,2004-12-31
1838703,SA_0000001688,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2022,SEX,SEX_BTSX,,,,,,,1.6 [1.0 - 2.3],1.587148554,0.96943304,2.328386411,,2025-05-13T09:35:54Z,2022,2022-01-01,2022-12-31
9669525,SA_0000001688,COUNTRY,ESP,EUR,Europe,YEAR,2007,SEX,SEX_BTSX,,,,,,,11.7 [9.9 - 13.4],11.675190778,9.863474204,13.444424952,,2025-05-13T09:35:54Z,2007,2007-01-01,2007-12-31
3573447,SA_0000001688,COUNTRY,HRV,EUR,Europe,YEAR,2021,SEX,SEX_BTSX,,,,,,,10.8 [9.1 - 12.8],10.8467002,9.135991989,12.783823603,,2025-05-13T09:35:54Z,2021,2021-01-01,2021-12-31
6437782,SA_0000001688,COUNTRY,HTI,AMR,Americas,YEAR,2005,SEX,SEX_BTSX,,,,,,,4.2 [3.1 - 5.4],4.215572432,3.116592676,5.375647129,,2025-05-13T09:35:54Z,2005,2005-01-01,2005-12-31
6536881,SA_0000001688,UNREGION,14,,,YEAR,2006,SEX,SEX_BTSX,,,,,,,3.3 [3.0 - 3.7],3.336304604,3.001382745,3.730630634,,2025-05-13T09:35:54Z,2006,2006-01-01,2006-12-31
3764635,SA_0000001688,COUNTRY,BLR,EUR,Europe,YEAR,2008,SEX,SEX_BTSX,,,,,,,14.4 [12.5 - 16.2],14.422588071,12.486547104,16.240689765,,2025-05-13T09:35:54Z,2008,2008-01-01,2008-12-31
