Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8824163,SA_0000001841,COUNTRY,KNA,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,2.2,2.2068523,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
5675123,SA_0000001841,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,1.202e-6,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
6993511,SA_0000001841,COUNTRY,GTM,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,0,0.0317291,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1158191,SA_0000001841,COUNTRY,JPN,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,,,,,,,2.3,2.286977599,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
999326,SA_0000001841,COUNTRY,FRA,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,6.6,6.572414207,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
2785094,SA_0000001841,COUNTRY,SWZ,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.8,1.833548197,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
2810530,SA_0000001841,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,0.001460082,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8989278,SA_0000001841,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,,,,,,,0,0.0174545,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1336260,SA_0000001841,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,SEX,SEX_MLE,,,,,,,0,0,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1368079,SA_0000001841,COUNTRY,COD,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,4.22e-4,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
2283992,SA_0000001841,COUNTRY,CYP,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.6,1.639703005,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3344187,SA_0000001841,COUNTRY,LCA,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,3,2.989513816,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
266139,SA_0000001841,COUNTRY,CMR,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,1,1.031292802,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
9345332,SA_0000001841,COUNTRY,THA,SEAR,South-East Asia,YEAR,2019,SEX,SEX_BTSX,,,,,,,2,1.970749753,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
6625660,SA_0000001841,COUNTRY,BDI,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.1,0.0900564,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
2956489,SA_0000001841,COUNTRY,KAZ,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,1.3,1.304963492,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
9218205,SA_0000001841,COUNTRY,MNE,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,1,1.0339721,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
9224599,SA_0000001841,COUNTRY,KEN,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.2,0.221047186,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3745708,SA_0000001841,COUNTRY,VCT,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.5,1.501685801,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
4406618,SA_0000001841,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,0,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
6050396,SA_0000001841,COUNTRY,GRC,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,2.1,2.1479984,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
157838,SA_0000001841,COUNTRY,DMA,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,1.7,1.739657501,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
5210690,SA_0000001841,COUNTRY,GMB,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,0.00194903,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
2975636,SA_0000001841,COUNTRY,DNK,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.5,0.5412679,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
4724872,SA_0000001841,COUNTRY,UGA,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,3.5,3.508500386,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3949587,SA_0000001841,COUNTRY,HRV,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,3.8,3.841946203,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
5369620,SA_0000001841,COUNTRY,ROU,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,3.2,3.245000401,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1342739,SA_0000001841,COUNTRY,BEN,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,2.2,2.199885003,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
9618906,SA_0000001841,COUNTRY,BLR,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,6.8,6.81156649,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8798902,SA_0000001841,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0.044882999,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
6740124,SA_0000001841,COUNTRY,BRB,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,4.9,4.873077499,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1094944,SA_0000001841,COUNTRY,LUX,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,6.2,6.1727018,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8385658,SA_0000001841,COUNTRY,TZA,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,1.3,1.326065396,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3070999,SA_0000001841,COUNTRY,MLI,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,1.1,1.1460965,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
6368144,SA_0000001841,COUNTRY,PER,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.3,0.2977788,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
412827,SA_0000001841,COUNTRY,GMB,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,1.19e-5,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1571587,SA_0000001841,COUNTRY,NGA,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.6,0.624840288,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
7794012,SA_0000001841,COUNTRY,UGA,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,5.3,5.30400651,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
736788,SA_0000001841,COUNTRY,GUY,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.9,0.884224237,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
5777167,SA_0000001841,COUNTRY,FJI,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.1,0.0898338,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
1686019,SA_0000001841,COUNTRY,ALB,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.5,0.517168145,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3605651,SA_0000001841,COUNTRY,KOR,WPR,Western Pacific,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.7,1.73039519,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
75135,SA_0000001841,COUNTRY,ARG,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.3,0.2992625,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3420910,SA_0000001841,COUNTRY,PRY,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.2,0.1661812,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
3631173,SA_0000001841,COUNTRY,TUV,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,,,,,,,0,0.011949,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
9882083,SA_0000001841,COUNTRY,MDG,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,0,0.0019,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8582531,SA_0000001841,COUNTRY,CHN,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0.0407514,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8601656,SA_0000001841,COUNTRY,LSO,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.8,0.757530471,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
6708717,SA_0000001841,COUNTRY,NER,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,0,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8436328,SA_0000001841,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,0,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
8728953,SA_0000001841,COUNTRY,TKM,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.4,0.365052809,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
7850991,SA_0000001841,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
9084985,SA_0000001841,COUNTRY,RWA,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,0.4,0.4353536,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
37526,SA_0000001841,COUNTRY,GNQ,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.2,0.2474649,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
7972413,SA_0000001841,COUNTRY,BOL,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,0.4,0.4179877,,,,2025-05-22T14:50:15Z,2019,2019-01-01,2019-12-31
