Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2365132,SA_0000001842,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,0,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
1889715,SA_0000001842,COUNTRY,CRI,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.1,1.141307602,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
5094635,SA_0000001842,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,,,,,,,0,6.74678e-4,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
4050904,SA_0000001842,COUNTRY,FJI,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.7,0.716631983,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
9453227,SA_0000001842,COUNTRY,TZA,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,11.1,11.083221477,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
4985209,SA_0000001842,COUNTRY,GNQ,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,5.8,5.802846264,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
4063661,SA_0000001842,COUNTRY,IND,SEAR,South-East Asia,YEAR,2019,SEX,SEX_MLE,,,,,,,9.7,9.738268329,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
7806449,SA_0000001842,COUNTRY,GUY,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,3.2,3.240824371,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
4680147,SA_0000001842,COUNTRY,KGZ,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,17.7,17.669754806,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
9351691,SA_0000001842,COUNTRY,MDG,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,2.0696e-5,,,,2025-05-23T08:01:04Z,2019,2019-01-01,2019-12-31
