Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
933495,SA_0000001409,COUNTRY,NIC,AMR,Americas,YEAR,2004,SEX,SEX_FMLE,,,,,,,46.9 [43.4 - 50.5],46.8536787,43.4186466,50.5363595,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
933700,SA_0000001409,COUNTRY,UGA,AFR,Africa,YEAR,2014,SEX,SEX_FMLE,,,,,,,52.0 [48.5 - 55.0],52.0068395,48.4756514,54.9521048,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
934172,SA_0000001409,COUNTRY,VUT,WPR,Western Pacific,YEAR,2013,SEX,SEX_MLE,,,,,,,46.1 [43.4 - 48.7],46.0643382,43.3548066,48.7480164,,2024-06-20T14:10:27Z,2013,2013-01-01,2013-12-31
936103,SA_0000001409,COUNTRY,BRA,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,,,,,,,22.1 [19.6 - 24.6],22.104191,19.5511817,24.5925613,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
936606,SA_0000001409,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2008,SEX,SEX_BTSX,,,,,,,97.3 [96.6 - 97.9],97.2563451,96.5533293,97.893713,,2024-06-20T14:10:27Z,2008,2008-01-01,2008-12-31
3683,SA_0000001409,COUNTRY,DOM,AMR,Americas,YEAR,2009,SEX,SEX_BTSX,,,,,,,28.6 [26.3 - 30.9],28.6121238,26.2543351,30.9470602,,2024-06-20T14:10:27Z,2009,2009-01-01,2009-12-31
3731,SA_0000001409,COUNTRY,MDA,EUR,Europe,YEAR,2007,SEX,SEX_BTSX,,,,,,,13.9 [12.5 - 15.3],13.8758129,12.4934904,15.3194688,,2024-06-20T14:10:27Z,2007,2007-01-01,2007-12-31
3829,SA_0000001409,COUNTRY,SLB,WPR,Western Pacific,YEAR,2017,SEX,SEX_MLE,,,,,,,47.7 [44.9 - 50.4],47.6771743,44.8951,50.4173044,,2024-06-20T14:10:27Z,2017,2017-01-01,2017-12-31
3919,SA_0000001409,COUNTRY,EST,EUR,Europe,YEAR,2005,SEX,SEX_FMLE,,,,,,,12.2 [10.7 - 13.6],12.1943374,10.7137128,13.6243437,,2024-06-20T14:10:27Z,2005,2005-01-01,2005-12-31
3963,SA_0000001409,COUNTRY,GAB,AFR,Africa,YEAR,2007,SEX,SEX_FMLE,,,,,,,39.1 [35.9 - 42.1],39.0604897,35.8691523,42.1183068,,2024-06-20T14:10:27Z,2007,2007-01-01,2007-12-31
4270,SA_0000001409,COUNTRY,GRD,AMR,Americas,YEAR,2010,SEX,SEX_FMLE,,,,,,,36.1 [33.3 - 38.8],36.1304998,33.329927,38.831047,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
6364,SA_0000001409,COUNTRY,VCT,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,,,,,,,38.0 [35.1 - 40.7],37.9796948,35.1486579,40.6937857,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
8091,SA_0000001409,COUNTRY,ESP,EUR,Europe,YEAR,2005,SEX,SEX_BTSX,,,,,,,12.6 [11.6 - 13.5],12.5822298,11.6052108,13.5498729,,2024-06-20T14:10:27Z,2005,2005-01-01,2005-12-31
10490,SA_0000001409,COUNTRY,COG,AFR,Africa,YEAR,2000,SEX,SEX_BTSX,,,,,,,42.5 [40.0 - 45.0],42.4917153,40.0163337,44.9566427,,2024-06-20T14:10:27Z,2000,2000-01-01,2000-12-31
11730,SA_0000001409,COUNTRY,ISL,EUR,Europe,YEAR,2005,SEX,SEX_BTSX,,,,,,,14.1 [13.1 - 15.3],14.1391708,13.1086219,15.2587255,,2024-06-20T14:10:27Z,2005,2005-01-01,2005-12-31
11966,SA_0000001409,COUNTRY,FJI,WPR,Western Pacific,YEAR,2003,SEX,SEX_MLE,,,,,,,47.2 [44.4 - 49.9],47.1503945,44.3599618,49.8576581,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
12119,SA_0000001409,COUNTRY,FSM,WPR,Western Pacific,YEAR,2017,SEX,SEX_BTSX,,,,,,,54.6 [51.9 - 57.2],54.5839854,51.8861146,57.2201838,,2024-06-20T14:10:27Z,2017,2017-01-01,2017-12-31
12148,SA_0000001409,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2011,SEX,SEX_BTSX,,,,,,,51.4 [48.0 - 54.6],51.3709232,48.0254982,54.6440623,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
14624,SA_0000001409,COUNTRY,GTM,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,,,,,,,50.8 [47.3 - 54.6],50.8476902,47.3444342,54.6101969,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
15937,SA_0000001409,COUNTRY,NRU,WPR,Western Pacific,YEAR,2009,SEX,SEX_BTSX,,,,,,,52.7 [50.0 - 55.3],52.6734034,50.0040145,55.2956517,,2024-06-20T14:10:27Z,2009,2009-01-01,2009-12-31
16240,SA_0000001409,COUNTRY,TGO,AFR,Africa,YEAR,2008,SEX,SEX_BTSX,,,,,,,53.7 [50.8 - 56.9],53.6746633,50.8334935,56.8744503,,2024-06-20T14:10:27Z,2008,2008-01-01,2008-12-31
16489,SA_0000001409,COUNTRY,NLD,EUR,Europe,YEAR,2015,SEX,SEX_FMLE,,,,,,,18.5 [17.2 - 19.9],18.4984964,17.1717481,19.8969666,,2024-06-20T14:10:27Z,2015,2015-01-01,2015-12-31
16720,SA_0000001409,COUNTRY,SLB,WPR,Western Pacific,YEAR,2000,SEX,SEX_MLE,,,,,,,49.3 [46.5 - 52.2],49.3433257,46.4805938,52.1581806,,2024-06-20T14:10:27Z,2000,2000-01-01,2000-12-31
16995,SA_0000001409,COUNTRY,FIN,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,6.5 [5.9 - 7.1],6.5137096,5.9256703,7.1486183,,2024-06-20T14:10:27Z,2019,2019-01-01,2019-12-31
17682,SA_0000001409,COUNTRY,COK,WPR,Western Pacific,YEAR,2002,SEX,SEX_FMLE,,,,,,,61.7 [59.0 - 64.4],61.7491121,58.9803272,64.415652,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
19117,SA_0000001409,COUNTRY,AUT,EUR,Europe,YEAR,2011,SEX,SEX_FMLE,,,,,,,16.6 [15.4 - 17.8],16.6130218,15.397285,17.8077697,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
21424,SA_0000001409,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2012,SEX,SEX_BTSX,,,,,,,39.0 [33.9 - 44.2],39.0170557,33.8622099,44.2150663,,2024-06-20T14:10:27Z,2012,2012-01-01,2012-12-31
21731,SA_0000001409,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2005,SEX,SEX_BTSX,,,,,,,86.9 [85.5 - 88.2],86.9030329,85.450406,88.2077233,,2024-06-20T14:10:27Z,2005,2005-01-01,2005-12-31
22550,SA_0000001409,COUNTRY,MOZ,AFR,Africa,YEAR,2002,SEX,SEX_BTSX,,,,,,,67.6 [65.3 - 69.8],67.6302173,65.309745,69.8270667,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
22962,SA_0000001409,COUNTRY,LAO,WPR,Western Pacific,YEAR,2013,SEX,SEX_BTSX,,,,,,,30.7 [28.0 - 33.4],30.6989031,28.0383876,33.3656739,,2024-06-20T14:10:27Z,2013,2013-01-01,2013-12-31
23170,SA_0000001409,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2001,SEX,SEX_MLE,,,,,,,93.4 [92.9 - 93.8],93.4023533,92.9443302,93.7629716,,2024-06-20T14:10:27Z,2001,2001-01-01,2001-12-31
