Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8079526,SA_0000001839,COUNTRY,JAM,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,2.7,2.666050199,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7698121,SA_0000001839,COUNTRY,CHL,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,4.4,4.42154122,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
6272649,SA_0000001839,COUNTRY,AGO,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,3,3.007228513,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5055113,SA_0000001839,COUNTRY,FJI,WPR,Western Pacific,YEAR,2019,SEX,SEX_BTSX,,,,,,,2.5,2.546147874,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5088324,SA_0000001839,COUNTRY,UZB,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,3.6,3.638895625,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5853301,SA_0000001839,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
8206981,SA_0000001839,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,1.5e-8,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5535206,SA_0000001839,COUNTRY,DNK,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,11.4,11.420219644,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
2937296,SA_0000001839,COUNTRY,NZL,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,1,1.007239901,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7895250,SA_0000001839,COUNTRY,CRI,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.4,1.442016633,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
2105722,SA_0000001839,COUNTRY,GNB,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,2.8,2.835559885,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
920694,SA_0000001839,COUNTRY,SRB,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,10.2,10.219486154,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5547985,SA_0000001839,COUNTRY,EST,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,8,7.956838623,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
4482758,SA_0000001839,COUNTRY,GRC,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,7.4,7.36790838,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1660304,SA_0000001839,COUNTRY,ZWE,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.6,0.625919927,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3287018,SA_0000001839,COUNTRY,JPN,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.3,0.274569112,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3618135,SA_0000001839,COUNTRY,KEN,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.5,1.451116281,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3745664,SA_0000001839,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_BTSX,,,,,,,0,4.80202e-4,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5082873,SA_0000001839,COUNTRY,PRY,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.4,0.35516029,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7018879,SA_0000001839,COUNTRY,MWI,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,4.3,4.313458046,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
2619923,SA_0000001839,COUNTRY,AND,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,8,7.982105532,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
961613,SA_0000001839,COUNTRY,ZMB,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.2,0.177245695,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3096274,SA_0000001839,COUNTRY,PRT,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,7.3,7.331507712,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
9211871,SA_0000001839,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,1.225e-6,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
6228599,SA_0000001839,COUNTRY,MKD,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,5.6,5.570039843,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
6810167,SA_0000001839,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.2,0.159618715,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1692268,SA_0000001839,COUNTRY,VCT,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.7,0.669647597,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
9644472,SA_0000001839,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,,,,,,,0.5,0.535912783,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
768379,SA_0000001839,COUNTRY,THA,SEAR,South-East Asia,YEAR,2019,SEX,SEX_FMLE,,,,,,,1,1.043491579,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
806676,SA_0000001839,COUNTRY,CMR,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,7.8,7.80636648,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1330088,SA_0000001839,COUNTRY,VUT,WPR,Western Pacific,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.7,0.733857523,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
4883552,SA_0000001839,COUNTRY,GUY,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,3.3,3.284859277,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3949656,SA_0000001839,COUNTRY,LAO,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,2.8,2.830875972,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
4178025,SA_0000001839,COUNTRY,MKD,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,2.9,2.869645224,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
9542728,SA_0000001839,COUNTRY,ZWE,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,6,5.96154855,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7482514,SA_0000001839,COUNTRY,COM,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,0.4,0.354849446,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
4896333,SA_0000001839,COUNTRY,CZE,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,18,17.984132998,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1819878,SA_0000001839,COUNTRY,POL,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,16.1,16.0991402,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3280874,SA_0000001839,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0.007326056,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
8156372,SA_0000001839,COUNTRY,COK,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,2.6,2.622182723,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1024876,SA_0000001839,COUNTRY,KAZ,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.6,0.566125154,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
4375324,SA_0000001839,COUNTRY,TGO,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,0.1,0.143212724,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3331881,SA_0000001839,COUNTRY,DOM,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,8.5,8.532032105,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
8741597,SA_0000001839,COUNTRY,WSM,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0.037197176,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
215464,SA_0000001839,COUNTRY,TTO,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.5,0.464706693,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7844879,SA_0000001839,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,,,,,,,0,1e-9,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1203355,SA_0000001839,COUNTRY,DEU,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,1.8,1.784796738,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
9237501,SA_0000001839,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.2,1.230935461,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
9669980,SA_0000001839,COUNTRY,COG,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.5,0.457363442,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3911606,SA_0000001839,COUNTRY,SLE,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,0,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3962343,SA_0000001839,COUNTRY,KIR,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,,,,,,,0,0.025878869,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
730571,SA_0000001839,COUNTRY,BRB,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,13.4,13.396896682,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
8576291,SA_0000001839,COUNTRY,NOR,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,3.4,3.414095482,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1095127,SA_0000001839,COUNTRY,ALB,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.2,0.195192427,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
2956831,SA_0000001839,COUNTRY,ZWE,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,3,3.037302168,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3077543,SA_0000001839,COUNTRY,GAB,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.7,0.695944858,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
6324136,SA_0000001839,COUNTRY,GIN,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0,9.9172e-5,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1228930,SA_0000001839,COUNTRY,LUX,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,7.9,7.946391291,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
1533474,SA_0000001839,COUNTRY,JAM,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,1.3,1.338097343,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
597470,SA_0000001839,COUNTRY,RUS,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,1.8,1.809668501,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7482734,SA_0000001839,COUNTRY,BFA,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,12.2,12.157075008,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
5446462,SA_0000001839,COUNTRY,TCD,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,4.9,4.865836934,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
3261969,SA_0000001839,COUNTRY,AGO,AFR,Africa,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.3,0.304528264,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
7819670,SA_0000001839,COUNTRY,ARM,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,6.5,6.515460704,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
2093480,SA_0000001839,COUNTRY,ECU,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.7,0.652086741,,,,2025-05-22T14:43:03Z,2019,2019-01-01,2019-12-31
