Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3535131,SA_0000001739,COUNTRY,CIV,AFR,Africa,YEAR,2007,SEX,SEX_FMLE,,,,,,,7.4 [6.8 - 8.1],7.4482173,6.8427846,8.0536501,,2024-06-20T14:10:27Z,2007,2007-01-01,2007-12-31
3573398,SA_0000001739,COUNTRY,BGR,EUR,Europe,YEAR,2010,SEX,SEX_MLE,,,,,,,31.4 [29.3 - 33.5],31.4222308,29.3490467,33.4954148,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
8053982,SA_0000001739,COUNTRY,FRA,EUR,Europe,YEAR,2014,SEX,SEX_MLE,,,,,,,44.1 [41.9 - 46.2],44.0551212,41.9265627,46.1836798,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
342485,SA_0000001739,COUNTRY,CHE,EUR,Europe,YEAR,2020,SEX,SEX_FMLE,,,,,,,23.4 [21.7 - 25.0],23.3765663,21.7108036,25.0423291,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
367903,SA_0000001739,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2001,SEX,SEX_MLE,,,,,,,0.4 [0.4 - 0.5],0.4444716,0.3909172,0.4980261,,2024-06-20T14:10:27Z,2001,2001-01-01,2001-12-31
3669016,SA_0000001739,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2013,SEX,SEX_BTSX,,,,,,,1.6 [1.4 - 1.8],1.6036024,1.406965,1.8002398,,2024-06-20T14:10:27Z,2013,2013-01-01,2013-12-31
3675403,SA_0000001739,COUNTRY,CHN,WPR,Western Pacific,YEAR,2016,SEX,SEX_BTSX,,,,,,,17.5 [5.3 - 29.7],17.4808878,5.30059,29.6611855,,2024-06-20T14:10:27Z,2016,2016-01-01,2016-12-31
3707302,SA_0000001739,COUNTRY,PNG,WPR,Western Pacific,YEAR,2006,SEX,SEX_BTSX,,,,,,,16.5 [15.7 - 17.3],16.5444572,15.7454296,17.3434848,,2024-06-20T14:10:27Z,2006,2006-01-01,2006-12-31
8276925,SA_0000001739,COUNTRY,BLR,EUR,Europe,YEAR,2015,SEX,SEX_BTSX,,,,,,,27.0 [24.5 - 29.4],26.9721533,24.5120354,29.4322713,,2024-06-20T14:10:27Z,2015,2015-01-01,2015-12-31
2245579,SA_0000001739,COUNTRY,LCA,AMR,Americas,YEAR,2020,SEX,SEX_FMLE,,,,,,,18.0 [16.6 - 19.3],17.9519331,16.5577742,19.3460921,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
641059,SA_0000001739,COUNTRY,ISL,EUR,Europe,YEAR,2013,SEX,SEX_MLE,,,,,,,53.6 [51.5 - 55.7],53.6198571,51.5346661,55.7050481,,2024-06-20T14:10:27Z,2013,2013-01-01,2013-12-31
3911096,SA_0000001739,COUNTRY,GNQ,AFR,Africa,YEAR,2005,SEX,SEX_MLE,,,,,,,61.1 [58.9 - 63.3],61.0606338,58.856231,63.2650366,,2024-06-20T14:10:27Z,2005,2005-01-01,2005-12-31
8499378,SA_0000001739,COUNTRY,MUS,AFR,Africa,YEAR,2010,SEX,SEX_FMLE,,,,,,,8.4 [7.6 - 9.2],8.3972344,7.6175696,9.1768992,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
2428895,SA_0000001739,COUNTRY,CRI,AMR,Americas,YEAR,2003,SEX,SEX_MLE,,,,,,,25.0 [23.4 - 26.7],25.0260219,23.352556,26.6994879,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
4082333,SA_0000001739,COUNTRY,BOL,AMR,Americas,YEAR,2013,SEX,SEX_BTSX,,,,,,,32.2 [29.1 - 35.3],32.1905953,29.0981211,35.2830695,,2024-06-20T14:10:27Z,2013,2013-01-01,2013-12-31
8563002,SA_0000001739,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2004,SEX,SEX_BTSX,,,,,,,0.3 [0.2 - 0.3],0.2784777,0.2452718,0.3116836,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
5350297,SA_0000001739,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2000,SEX,SEX_BTSX,,,,,,,17.7 [6.1 - 29.2],17.6912291,6.1495572,29.2329009,,2024-06-20T14:10:27Z,2000,2000-01-01,2000-12-31
7031428,SA_0000001739,COUNTRY,PRT,EUR,Europe,YEAR,2007,SEX,SEX_MLE,,,,,,,57.8 [55.7 - 59.9],57.811834,55.7021884,59.9214797,,2024-06-20T14:10:27Z,2007,2007-01-01,2007-12-31
5445889,SA_0000001739,COUNTRY,CAF,AFR,Africa,YEAR,2006,SEX,SEX_MLE,,,,,,,39.4 [37.2 - 41.7],39.4328837,37.1630166,41.7027508,,2024-06-20T14:10:27Z,2006,2006-01-01,2006-12-31
4253882,SA_0000001739,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2001,SEX,SEX_MLE,,,,,,,0.3 [0.2 - 0.3],0.2500794,0.1698657,0.330293,,2024-06-20T14:10:27Z,2001,2001-01-01,2001-12-31
2638823,SA_0000001739,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2007,SEX,SEX_FMLE,,,,,,,0.4 [0.4 - 0.5],0.4443709,0.3719452,0.5167965,,2024-06-20T14:10:27Z,2007,2007-01-01,2007-12-31
5567008,SA_0000001739,COUNTRY,ROU,EUR,Europe,YEAR,2009,SEX,SEX_MLE,,,,,,,54.8 [52.4 - 57.3],54.8417884,52.4114083,57.2721685,,2024-06-20T14:10:27Z,2009,2009-01-01,2009-12-31
4355836,SA_0000001739,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2010,SEX,SEX_BTSX,,,,,,,2.2 [1.9 - 2.5],2.1975517,1.9340786,2.4610248,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
1113521,SA_0000001739,COUNTRY,SVN,EUR,Europe,YEAR,2011,SEX,SEX_MLE,,,,,,,41.0 [39.0 - 43.0],40.9813439,39.0053074,42.9573804,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
5662366,SA_0000001739,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2006,SEX,SEX_BTSX,,,,,,,0.4 [0.3 - 0.4],0.3713542,0.3168672,0.4258411,,2024-06-20T14:10:27Z,2006,2006-01-01,2006-12-31
5662376,SA_0000001739,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,,,,,,,6.1 [5.3 - 6.9],6.1085415,5.3168327,6.9002503,,2024-06-20T14:10:27Z,2016,2016-01-01,2016-12-31
4431833,SA_0000001739,COUNTRY,ETH,AFR,Africa,YEAR,2002,SEX,SEX_BTSX,,,,,,,5.7 [5.3 - 6.2],5.7175833,5.2717072,6.1634593,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
7285672,SA_0000001739,COUNTRY,GIN,AFR,Africa,YEAR,2010,SEX,SEX_BTSX,,,,,,,3.7 [3.4 - 4.0],3.7104629,3.3926459,4.0282799,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
5694248,SA_0000001739,COUNTRY,MDG,AFR,Africa,YEAR,2014,SEX,SEX_FMLE,,,,,,,6.9 [6.3 - 7.5],6.9360381,6.328982,7.5430942,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
8957253,SA_0000001739,COUNTRY,NOR,EUR,Europe,YEAR,2008,SEX,SEX_FMLE,,,,,,,21.7 [20.2 - 23.2],21.6629657,20.159897,23.1660344,,2024-06-20T14:10:27Z,2008,2008-01-01,2008-12-31
5859601,SA_0000001739,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,SEX,SEX_MLE,,,,,,,13.4 [11.7 - 15.1],13.3821883,11.69169,15.0726866,,2024-06-20T14:10:27Z,2018,2018-01-01,2018-12-31
5859615,SA_0000001739,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2004,SEX,SEX_BTSX,,,,,,,0.4 [0.3 - 0.4],0.3607308,0.3066041,0.4148575,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
7469459,SA_0000001739,COUNTRY,JPN,WPR,Western Pacific,YEAR,2016,SEX,SEX_MLE,,,,,,,56.1 [54.5 - 57.6],56.0707153,54.5244463,57.6169843,,2024-06-20T14:10:27Z,2016,2016-01-01,2016-12-31
4641855,SA_0000001739,COUNTRY,USA,AMR,Americas,YEAR,2001,SEX,SEX_FMLE,,,,,,,20.7 [19.2 - 22.1],20.6678669,19.2160917,22.1196421,,2024-06-20T14:10:27Z,2001,2001-01-01,2001-12-31
4667272,SA_0000001739,COUNTRY,VEN,AMR,Americas,YEAR,2014,SEX,SEX_MLE,,,,,,,28.8 [26.9 - 30.7],28.804691,26.9022844,30.7070976,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
1437479,SA_0000001739,COUNTRY,CAF,AFR,Africa,YEAR,2002,SEX,SEX_MLE,,,,,,,39.4 [37.1 - 41.7],39.3867199,37.114126,41.6593137,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
5941950,SA_0000001739,COUNTRY,BEL,EUR,Europe,YEAR,2017,SEX,SEX_FMLE,,,,,,,20.6 [19.2 - 22.0],20.574935,19.1847561,21.965114,,2024-06-20T14:10:27Z,2017,2017-01-01,2017-12-31
4711875,SA_0000001739,COUNTRY,CIV,AFR,Africa,YEAR,2012,SEX,SEX_MLE,,,,,,,17.5 [16.3 - 18.6],17.4572399,16.3485509,18.565929,,2024-06-20T14:10:27Z,2012,2012-01-01,2012-12-31
5999146,SA_0000001739,COUNTRY,LCA,AMR,Americas,YEAR,2014,SEX,SEX_BTSX,,,,,,,28.3 [26.6 - 30.0],28.3050838,26.6495251,29.9606424,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
6037452,SA_0000001739,COUNTRY,BHS,AMR,Americas,YEAR,2015,SEX,SEX_BTSX,,,,,,,23.0 [21.3 - 24.7],22.9756359,21.3005418,24.6507299,,2024-06-20T14:10:27Z,2015,2015-01-01,2015-12-31
3191304,SA_0000001739,COUNTRY,BGR,EUR,Europe,YEAR,2003,SEX,SEX_MLE,,,,,,,32.6 [30.3 - 34.9],32.6408404,30.3466647,34.9350161,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
9338846,SA_0000001739,COUNTRY,BLR,EUR,Europe,YEAR,2001,SEX,SEX_FMLE,,,,,,,18.5 [16.4 - 20.6],18.4913971,16.4173528,20.5654414,,2024-06-20T14:10:27Z,2001,2001-01-01,2001-12-31
1622004,SA_0000001739,COUNTRY,PNG,WPR,Western Pacific,YEAR,2010,SEX,SEX_MLE,,,,,,,20.9 [19.9 - 22.0],20.9424031,19.9010796,21.9837265,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
4876906,SA_0000001739,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2016,SEX,SEX_MLE,,,,,,,2.7 [2.4 - 3.0],2.6964594,2.3646376,3.0282812,,2024-06-20T14:10:27Z,2016,2016-01-01,2016-12-31
7800006,SA_0000001739,COUNTRY,BEN,AFR,Africa,YEAR,2012,SEX,SEX_BTSX,,,,,,,23.7 [22.3 - 25.1],23.7124941,22.34866,25.0763283,,2024-06-20T14:10:27Z,2012,2012-01-01,2012-12-31
81144,SA_0000001739,COUNTRY,AND,EUR,Europe,YEAR,2003,SEX,SEX_FMLE,,,,,,,32.9 [31.0 - 34.8],32.9047762,31.0072326,34.8023198,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
9440478,SA_0000001739,COUNTRY,GMB,AFR,Africa,YEAR,2020,SEX,SEX_BTSX,,,,,,,6.3 [5.6 - 7.0],6.3094563,5.5965184,7.0223942,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
6215592,SA_0000001739,COUNTRY,NLD,EUR,Europe,YEAR,2009,SEX,SEX_MLE,,,,,,,44.8 [42.8 - 46.7],44.7815894,42.8319439,46.7312349,,2024-06-20T14:10:27Z,2009,2009-01-01,2009-12-31
7971841,SA_0000001739,COUNTRY,BRA,AMR,Americas,YEAR,2003,SEX,SEX_MLE,,,,,,,27.4 [24.8 - 30.0],27.433488,24.8270958,30.0398801,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
9612306,SA_0000001739,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2020,SEX,SEX_FMLE,,,,,,,0.1 [0.1 - 0.1],0.0896396,0.0746822,0.104597,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
272395,SA_0000001739,COUNTRY,SVN,EUR,Europe,YEAR,2012,SEX,SEX_MLE,,,,,,,41.3 [39.3 - 43.2],41.2579171,39.2674747,43.2483595,,2024-06-20T14:10:27Z,2012,2012-01-01,2012-12-31
6412200,SA_0000001739,COUNTRY,NZL,WPR,Western Pacific,YEAR,2003,SEX,SEX_BTSX,,,,,,,42.0 [39.1 - 44.9],42.0010804,39.1440883,44.8580726,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
6530482,SA_0000001739,COUNTRY,ARM,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,28.6 [27.1 - 30.1],28.5760748,27.0598527,30.0922969,,2024-06-20T14:10:27Z,2019,2019-01-01,2019-12-31
2099235,SA_0000001739,COUNTRY,TZA,AFR,Africa,YEAR,2014,SEX,SEX_FMLE,,,,,,,7.4 [6.8 - 7.9],7.3627756,6.7767722,7.9487791,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
6593776,SA_0000001739,COUNTRY,AUS,WPR,Western Pacific,YEAR,2004,SEX,SEX_FMLE,,,,,,,27.4 [24.7 - 30.0],27.3533649,24.7008589,30.0058709,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
5126470,SA_0000001739,COUNTRY,IRL,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,,,,,,,45.2 [42.9 - 47.4],45.1784297,42.9369176,47.4199418,,2024-06-20T14:10:27Z,2000,2000-01-01,2000-12-31
527009,SA_0000001739,COUNTRY,CHL,AMR,Americas,YEAR,2006,SEX,SEX_FMLE,,,,,,,19.2 [17.0 - 21.5],19.2237038,16.9814799,21.4659276,,2024-06-20T14:10:27Z,2006,2006-01-01,2006-12-31
3796476,SA_0000001739,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2006,SEX,SEX_BTSX,,,,,,,0.2 [0.2 - 0.3],0.2357835,0.2043999,0.2671672,,2024-06-20T14:10:27Z,2006,2006-01-01,2006-12-31
9900615,SA_0000001739,COUNTRY,HRV,EUR,Europe,YEAR,2004,SEX,SEX_MLE,,,,,,,44.5 [42.5 - 46.4],44.4653065,42.4926054,46.4380076,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
565063,SA_0000001739,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2014,SEX,SEX_BTSX,,,,,,,0.3 [0.2 - 0.3],0.2598819,0.2067496,0.3130141,,2024-06-20T14:10:27Z,2014,2014-01-01,2014-12-31
2277486,SA_0000001739,COUNTRY,LTU,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,30.5 [27.5 - 33.5],30.4698273,27.4803103,33.4593443,,2024-06-20T14:10:27Z,2019,2019-01-01,2019-12-31
6758924,SA_0000001739,COUNTRY,GNB,AFR,Africa,YEAR,2009,SEX,SEX_BTSX,,,,,,,12.1 [11.3 - 12.9],12.1183983,11.3297897,12.9070068,,2024-06-20T14:10:27Z,2009,2009-01-01,2009-12-31
5160086,SA_0000001739,COUNTRY,MRT,AFR,Africa,YEAR,2012,SEX,SEX_MLE,,,,,,,1.2 [1.1 - 1.3],1.189558,1.0790756,1.3000403,,2024-06-20T14:10:27Z,2012,2012-01-01,2012-12-31
8550289,SA_0000001739,COUNTRY,USA,AMR,Americas,YEAR,2013,SEX,SEX_FMLE,,,,,,,21.5 [20.0 - 23.0],21.4868644,20.0043365,22.9693923,,2024-06-20T14:10:27Z,2013,2013-01-01,2013-12-31
8556694,SA_0000001739,COUNTRY,JPN,WPR,Western Pacific,YEAR,2003,SEX,SEX_FMLE,,,,,,,31.1 [29.5 - 32.7],31.126888,29.526446,32.7273301,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
6999860,SA_0000001739,COUNTRY,SWE,EUR,Europe,YEAR,2001,SEX,SEX_FMLE,,,,,,,21.6 [20.1 - 23.0],21.5835826,20.1418737,23.0252915,,2024-06-20T14:10:27Z,2001,2001-01-01,2001-12-31
