Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8015817,SA_0000001819,COUNTRY,AZE,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,2.4 [2.1-2.6],2.363731917,2.14387207,2.583591763,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
1209239,SA_0000001819,COUNTRY,PHL,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,,,,,,,14.8 [13.9-15.7],14.81139745,13.920821975,15.701972925,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
7469473,SA_0000001819,COUNTRY,HUN,EUR,Europe,YEAR,2016,SEX,SEX_BTSX,,,,,,,34.4 [32-36.8],34.4,32,36.8,,2018-09-06T09:09:46Z,2016,2016-01-01,2016-12-31
3077007,SA_0000001819,COUNTRY,UGA,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,13.5 [12.8-14.2],13.511101123,12.817903502,14.204298744,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
6151991,SA_0000001819,COUNTRY,CAN,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,21.8 [20.4-23.2],21.789671518,20.358479052,23.220863983,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
1666544,SA_0000001819,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,,,,,,,0.4 [0.3-0.5],0.4,0.3,0.5,,2018-09-06T09:09:50Z,2016,2016-01-01,2016-12-31
2721262,SA_0000001819,COUNTRY,CPV,AFR,Africa,YEAR,2016,SEX,SEX_BTSX,,,,,,,9.6 [8.7-10.6],9.6,8.7,10.6,,2018-09-06T09:09:44Z,2016,2016-01-01,2016-12-31
1222041,SA_0000001819,COUNTRY,PRY,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,11.1 [9.8-12.5],11.141114991,9.822437631,12.45979235,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
6158397,SA_0000001819,COUNTRY,EST,EUR,Europe,YEAR,2016,SEX,SEX_MLE,,,,,,,62.3 [58-65.7],62.3,58,65.7,,2018-09-06T09:09:45Z,2016,2016-01-01,2016-12-31
3828367,SA_0000001819,COUNTRY,MKD,EUR,Europe,YEAR,2016,SEX,SEX_FMLE,,,,,,,7.9 [6.8-9.2],7.9,6.8,9.2,,2018-09-06T09:09:48Z,2016,2016-01-01,2016-12-31
800034,SA_0000001819,COUNTRY,NER,AFR,Africa,YEAR,2016,SEX,SEX_MLE,,,,,,,7.5 [6.6-8.4],7.5,6.6,8.4,,2018-09-06T09:09:48Z,2016,2016-01-01,2016-12-31
8881609,SA_0000001819,COUNTRY,BGR,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,22.9 [21.5-24.4],22.928211583,21.480654447,24.375768719,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
336144,SA_0000001819,COUNTRY,BRB,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,20.2 [19.0-21.5],20.24747366,19.03694449,21.458002829,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
9887868,SA_0000001819,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_FMLE,,,,,,,0.1 [0-0.1],0.1,0,0.1,,2018-09-06T09:09:51Z,2016,2016-01-01,2016-12-31
8480393,SA_0000001819,COUNTRY,COM,AFR,Africa,YEAR,2016,SEX,SEX_BTSX,,,,,,,0.1 [0.1-0.2],0.1,0.1,0.2,,2018-09-06T09:09:44Z,2016,2016-01-01,2016-12-31
6593859,SA_0000001819,COUNTRY,MYS,WPR,Western Pacific,YEAR,2019,SEX,SEX_MLE,,,,,,,1.9 [1.7-2.1],1.902012285,1.690883006,2.113141563,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
6879396,SA_0000001819,COUNTRY,HND,AMR,Americas,YEAR,2016,SEX,SEX_MLE,,,,,,,13.4 [11.7-15],13.4,11.7,15,,2018-09-06T09:09:46Z,2016,2016-01-01,2016-12-31
8626577,SA_0000001819,COUNTRY,DZA,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.6 [0.5-0.7],0.593387457,0.522092807,0.664682107,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
2632571,SA_0000001819,COUNTRY,IND,SEAR,South-East Asia,YEAR,2016,SEX,SEX_FMLE,,,,,,,3.6 [2.9-4.3],3.6,2.9,4.3,,2018-09-06T09:09:46Z,2016,2016-01-01,2016-12-31
1132790,SA_0000001819,COUNTRY,CMR,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,20.0 [19.0-21.0],20.010289598,19.037131331,20.983447866,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
2772267,SA_0000001819,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_FMLE,,,,,,,1.1 [1-1.3],1.1,1,1.3,,2018-09-06T09:09:44Z,2016,2016-01-01,2016-12-31
9039884,SA_0000001819,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,,,,,,,1.3 [1-1.7],1.3,1,1.7,,2018-09-06T09:09:47Z,2016,2016-01-01,2016-12-31
5967370,SA_0000001819,COUNTRY,SGP,WPR,Western Pacific,YEAR,2016,SEX,SEX_BTSX,,,,,,,30.4 [25.7-34.9],30.4,25.7,34.9,,2018-09-06T09:09:50Z,2016,2016-01-01,2016-12-31
7666257,SA_0000001819,COUNTRY,NIC,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,10.9 [10.1-11.6],10.862869578,10.088798534,11.636940622,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
4915212,SA_0000001819,COUNTRY,BLR,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,29.3 [26.8-31.8],29.31832092,26.844761446,31.791880394,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
9434197,SA_0000001819,COUNTRY,CUB,AMR,Americas,YEAR,2016,SEX,SEX_MLE,,,,,,,28.7 [26.4-30.9],28.7,26.4,30.9,,2018-09-06T09:09:44Z,2016,2016-01-01,2016-12-31
444396,SA_0000001819,COUNTRY,PAN,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,13.1 [12.0-14.1],13.051358675,12.007596813,14.095120538,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
8238793,SA_0000001819,COUNTRY,UZB,EUR,Europe,YEAR,2016,SEX,SEX_FMLE,,,,,,,1.2 [1-1.4],1.2,1,1.4,,2018-09-06T09:09:51Z,2016,2016-01-01,2016-12-31
5363192,SA_0000001819,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_FMLE,,,,,,,0.1 [0.1-0.1],0.099960153,0.080069957,0.119850349,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
8671160,SA_0000001819,COUNTRY,CAF,AFR,Africa,YEAR,2016,SEX,SEX_BTSX,,,,,,,19.8 [18.2-21.1],19.8,18.2,21.1,,2018-09-06T09:09:43Z,2016,2016-01-01,2016-12-31
6279067,SA_0000001819,COUNTRY,MRT,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,0.2 [0.2-0.2],0.194635522,0.168139256,0.221131788,,2025-05-23T08:22:43Z,2019,2019-01-01,2019-12-31
2569016,SA_0000001819,COUNTRY,VUT,WPR,Western Pacific,YEAR,2016,SEX,SEX_MLE,,,,,,,8 [7.5-8.5],8,7.5,8.5,,2018-09-06T09:09:52Z,2016,2016-01-01,2016-12-31
7203669,SA_0000001819,COUNTRY,PRT,EUR,Europe,YEAR,2016,SEX,SEX_MLE,,,,,,,46.9 [43.8-49.8],46.9,43.8,49.8,,2018-09-06T09:09:49Z,2016,2016-01-01,2016-12-31
