Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8435783,SA_0000001820,COUNTRY,SVK,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,53.1,53.135284408,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
2804081,SA_0000001820,COUNTRY,CAN,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,50.6,50.58317918,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
1794056,SA_0000001820,COUNTRY,DNK,EUR,Europe,YEAR,2016,SEX,SEX_FMLE,,,,,,,29.5 [26.2-33.1],29.5,,,,2018-10-24T14:13:54Z,2016,2016-01-01,2016-12-31
2003906,SA_0000001820,COUNTRY,SLE,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,40.2,40.155845265,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
476143,SA_0000001820,COUNTRY,GNQ,AFR,Africa,YEAR,2016,SEX,SEX_FMLE,,,,,,,82.3 [75-87.9],82.3,,,,2018-10-24T14:14:05Z,2016,2016-01-01,2016-12-31
2543428,SA_0000001820,COUNTRY,NIC,AMR,Americas,YEAR,2016,SEX,SEX_FMLE,,,,,,,19.8 [16.1-24],19.8,,,,2018-10-24T14:14:05Z,2016,2016-01-01,2016-12-31
5700627,SA_0000001820,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2019,SEX,SEX_FMLE,,,,,,,46,45.95812799,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
1393142,SA_0000001820,COUNTRY,DEU,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,49.5,49.517753073,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
5074183,SA_0000001820,COUNTRY,MRT,AFR,Africa,YEAR,2016,SEX,SEX_BTSX,,,,,,,4.8 [3.5-6.5],4.8,,,,2018-10-24T14:13:57Z,2016,2016-01-01,2016-12-31
9730154,SA_0000001820,COUNTRY,ISR,EUR,Europe,YEAR,2016,SEX,SEX_MLE,,,,,,,49.7 [45-54.4],49.7,,,,2018-10-24T14:14:06Z,2016,2016-01-01,2016-12-31
5337611,SA_0000001820,COUNTRY,DMA,AMR,Americas,YEAR,2019,SEX,SEX_MLE,,,,,,,61.3,61.29250084,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
7146192,SA_0000001820,COUNTRY,SRB,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,44.3,44.294071499,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
2778653,SA_0000001820,COUNTRY,MLT,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,63.8,63.832808629,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
9554997,SA_0000001820,COUNTRY,MNE,EUR,Europe,YEAR,2019,SEX,SEX_MLE,,,,,,,40.2,40.170865442,,,,2025-06-03T12:54:10Z,2019,2019-01-01,2019-12-31
