Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1946596,SA_0000001747,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,0.4 [0.1 - 0.8],0.445461658,0.146069158,0.76061127,,2025-06-18T14:11:35Z,2011,2011-01-01,2011-12-31
336083,SA_0000001747,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,1.3 [0.8 - 1.9],1.317797856,0.807944195,1.901486768,,2025-06-18T14:11:35Z,2002,2002-01-01,2002-12-31
374263,SA_0000001747,COUNTRY,AZE,EUR,Europe,YEAR,2008,,,,,,,,,0.6 [0.3 - 1.0],0.568046097,0.251125335,0.96442283,,2025-06-18T14:11:35Z,2008,2008-01-01,2008-12-31
8251392,SA_0000001747,COUNTRY,PRT,EUR,Europe,YEAR,2012,,,,,,,,,10.0 [8.4 - 11.7],10.04,8.40102284,11.69269293,,2025-06-18T14:11:35Z,2012,2012-01-01,2012-12-31
558647,SA_0000001747,COUNTRY,CRI,AMR,Americas,YEAR,2013,,,,,,,,,3.1 [2.2 - 4.0],3.103333333,2.248116504,3.992306145,,2025-06-18T14:11:35Z,2013,2013-01-01,2013-12-31
2371540,SA_0000001747,COUNTRY,CRI,AMR,Americas,YEAR,2006,,,,,,,,,3.6 [2.6 - 4.6],3.616077017,2.643013071,4.586058564,,2025-06-18T14:11:35Z,2006,2006-01-01,2006-12-31
2403480,SA_0000001747,COUNTRY,TJK,EUR,Europe,YEAR,2020,,,,,,,,,0.8 [0.3 - 1.2],0.760516197,0.340246081,1.209908383,,2025-06-18T14:11:35Z,2020,2020-01-01,2020-12-31
2486271,SA_0000001747,COUNTRY,GHA,AFR,Africa,YEAR,2013,,,,,,,,,2.1 [1.3 - 2.8],2.058677345,1.327019345,2.761960454,,2025-06-18T14:11:35Z,2013,2013-01-01,2013-12-31
2619746,SA_0000001747,COUNTRY,NGA,AFR,Africa,YEAR,2006,,,,,,,,,2.3 [1.5 - 3.0],2.250020349,1.519515051,2.972388104,,2025-06-18T14:11:35Z,2006,2006-01-01,2006-12-31
7107892,SA_0000001747,COUNTRY,NGA,AFR,Africa,YEAR,2011,,,,,,,,,1.7 [1.0 - 2.3],1.674120707,1.043949041,2.349011808,,2025-06-18T14:11:35Z,2011,2011-01-01,2011-12-31
4597212,SA_0000001747,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,0.5 [0.2 - 0.8],0.470035182,0.157232306,0.81208218,,2025-06-18T14:11:35Z,2005,2005-01-01,2005-12-31
1348905,SA_0000001747,COUNTRY,BOL,AMR,Americas,YEAR,2020,,,,,,,,,2.8 [1.9 - 3.6],2.764477878,1.904600505,3.570867596,,2025-06-18T14:11:35Z,2020,2020-01-01,2020-12-31
9141667,SA_0000001747,COUNTRY,IND,SEAR,South-East Asia,YEAR,2004,,,,,,,,,1.2 [0.6 - 1.8],1.188789833,0.632243584,1.764424452,,2025-06-18T14:11:35Z,2004,2004-01-01,2004-12-31
7545396,SA_0000001747,COUNTRY,STP,AFR,Africa,YEAR,2003,,,,,,,,,5.3 [4.1 - 6.5],5.315032897,4.111540235,6.52986553,,2025-06-18T14:11:35Z,2003,2003-01-01,2003-12-31
7653383,SA_0000001747,COUNTRY,NLD,EUR,Europe,YEAR,2008,,,,,,,,,9.4 [7.7 - 11.0],9.35,7.660836521,10.9634657,,2025-06-18T14:11:35Z,2008,2008-01-01,2008-12-31
6101040,SA_0000001747,COUNTRY,PRT,EUR,Europe,YEAR,2018,,,,,,,,,10.6 [9.0 - 12.2],10.55359729,8.961006891,12.15848808,,2025-06-18T14:11:35Z,2018,2018-01-01,2018-12-31
43338,SA_0000001747,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,0.0 [0.0 - 0.1],0.039986232,0,0.145863999,,2025-06-18T14:11:35Z,2019,2019-01-01,2019-12-31
9459556,SA_0000001747,COUNTRY,POL,EUR,Europe,YEAR,2022,,,,,,,,,10.8 [9.1 - 12.3],10.75666667,9.061916085,12.32583189,,2025-06-18T14:11:35Z,2022,2022-01-01,2022-12-31
6317228,SA_0000001747,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,1.3 [0.8 - 2.0],1.344454662,0.792387906,1.996037768,,2025-06-18T14:11:35Z,2001,2001-01-01,2001-12-31
7971821,SA_0000001747,COUNTRY,NIU,WPR,Western Pacific,YEAR,2021,,,,,,,,,2.7 [1.9 - 3.5],2.679796433,1.875989097,3.474437962,,2025-06-18T14:11:35Z,2021,2021-01-01,2021-12-31
3547881,SA_0000001747,COUNTRY,TJK,EUR,Europe,YEAR,2014,,,,,,,,,0.9 [0.4 - 1.3],0.851638385,0.40887309,1.325733264,,2025-06-18T14:11:35Z,2014,2014-01-01,2014-12-31
1984795,SA_0000001747,COUNTRY,NZL,WPR,Western Pacific,YEAR,2009,,,,,,,,,9.5 [8.0 - 11.2],9.486666667,7.98910427,11.15813962,,2025-06-18T14:11:35Z,2009,2009-01-01,2009-12-31
647455,SA_0000001747,COUNTRY,JPN,WPR,Western Pacific,YEAR,2014,,,,,,,,,6.5 [5.3 - 7.7],6.486666667,5.298531122,7.677873714,,2025-06-18T14:11:35Z,2014,2014-01-01,2014-12-31
8607553,SA_0000001747,COUNTRY,LVA,EUR,Europe,YEAR,2005,,,,,,,,,9.7 [8.1 - 11.3],9.71,8.105076595,11.27061964,,2025-06-18T14:11:35Z,2005,2005-01-01,2005-12-31
6993476,SA_0000001747,COUNTRY,USA,AMR,Americas,YEAR,2013,,,,,,,,,8.8 [7.4 - 10.2],8.82,7.370494582,10.20813537,,2025-06-18T14:11:35Z,2013,2013-01-01,2013-12-31
7171652,SA_0000001747,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,0.1 [0.0 - 0.3],0.133356879,0.015757063,0.311684187,,2025-06-18T14:11:35Z,2000,2000-01-01,2000-12-31
7184412,SA_0000001747,COUNTRY,LSO,AFR,Africa,YEAR,2013,,,,,,,,,2.1 [1.4 - 2.9],2.144512413,1.432517287,2.90203129,,2025-06-18T14:11:35Z,2013,2013-01-01,2013-12-31
5948357,SA_0000001747,COUNTRY,TCD,AFR,Africa,YEAR,2016,,,,,,,,,0.6 [0.3 - 1.0],0.627351151,0.278097614,1.011502563,,2025-06-18T14:11:35Z,2016,2016-01-01,2016-12-31
3089729,SA_0000001747,COUNTRY,CAN,AMR,Americas,YEAR,2016,,,,,,,,,8.2 [6.7 - 9.7],8.176666667,6.705666503,9.654946767,,2025-06-18T14:11:35Z,2016,2016-01-01,2016-12-31
4927857,SA_0000001747,COUNTRY,KAZ,EUR,Europe,YEAR,2021,,,,,,,,,4.5 [3.4 - 5.5],4.503333333,3.429405631,5.500513318,,2025-06-18T14:11:35Z,2021,2021-01-01,2021-12-31
7787277,SA_0000001747,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2014,,,,,,,,,1.4 [0.8 - 2.0],1.367722528,0.802280155,1.977023219,,2025-06-18T14:11:35Z,2014,2014-01-01,2014-12-31
3375987,SA_0000001747,COUNTRY,AZE,EUR,Europe,YEAR,2018,,,,,,,,,0.9 [0.4 - 1.4],0.896666667,0.438102453,1.376233417,,2025-06-18T14:11:35Z,2018,2018-01-01,2018-12-31
