Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
933631,SA_0000001413,COUNTRY,LAO,WPR,Western Pacific,YEAR,2004,SEX,SEX_BTSX,,,,,,,50.5 [47.9 - 53.1],50.4822333,47.8816581,53.0636557,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
934371,SA_0000001413,COUNTRY,BIH,EUR,Europe,YEAR,2007,SEX,SEX_FMLE,,,,,,,31.3 [28.4 - 34.5],31.2547263,28.427202,34.4513815,,2024-06-20T14:10:27Z,2007,2007-01-01,2007-12-31
819,SA_0000001413,COUNTRY,KHM,WPR,Western Pacific,YEAR,2006,SEX,SEX_FMLE,,,,,,,30.7 [28.2 - 33.2],30.675556,28.1965586,33.1997743,,2024-06-20T14:10:27Z,2006,2006-01-01,2006-12-31
1510,SA_0000001413,COUNTRY,CZE,EUR,Europe,YEAR,2002,SEX,SEX_BTSX,,,,,,,74.4 [73.0 - 76.0],74.4462057,72.9506119,76.0053894,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
2500,SA_0000001413,COUNTRY,GHA,AFR,Africa,YEAR,2002,SEX,SEX_FMLE,,,,,,,34.0 [31.4 - 36.3],33.983543,31.4404758,36.3390076,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
3011,SA_0000001413,COUNTRY,GUY,AMR,Americas,YEAR,2020,SEX,SEX_FMLE,,,,,,,38.4 [36.2 - 40.6],38.3770251,36.1745858,40.6244296,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
5000,SA_0000001413,COUNTRY,URY,AMR,Americas,YEAR,2020,SEX,SEX_BTSX,,,,,,,67.4 [65.3 - 69.7],67.3933041,65.3090268,69.6821337,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
5237,SA_0000001413,COUNTRY,URY,AMR,Americas,YEAR,2018,SEX,SEX_BTSX,,,,,,,66.9 [64.8 - 69.2],66.8835442,64.7523336,69.2145542,,2024-06-20T14:10:27Z,2018,2018-01-01,2018-12-31
5292,SA_0000001413,COUNTRY,ITA,EUR,Europe,YEAR,2010,SEX,SEX_BTSX,,,,,,,74.0 [72.8 - 75.3],74.0389622,72.7560365,75.2501775,,2024-06-20T14:10:27Z,2010,2010-01-01,2010-12-31
7098,SA_0000001413,COUNTRY,PRY,AMR,Americas,YEAR,2004,SEX,SEX_MLE,,,,,,,59.1 [55.4 - 63.1],59.0919672,55.4285795,63.0815854,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
13569,SA_0000001413,COUNTRY,JPN,WPR,Western Pacific,YEAR,2019,SEX,SEX_FMLE,,,,,,,59.5 [57.6 - 61.3],59.492177,57.6197824,61.3271089,,2024-06-20T14:10:27Z,2019,2019-01-01,2019-12-31
14770,SA_0000001413,COUNTRY,GEO,EUR,Europe,YEAR,2018,SEX,SEX_MLE,,,,,,,66.7 [64.5 - 69.1],66.6843366,64.4810511,69.0556121,,2024-06-20T14:10:27Z,2018,2018-01-01,2018-12-31
15525,SA_0000001413,COUNTRY,AGO,AFR,Africa,YEAR,2003,SEX,SEX_MLE,,,,,,,62.1 [59.7 - 64.6],62.1336387,59.6658149,64.648132,,2024-06-20T14:10:27Z,2003,2003-01-01,2003-12-31
15935,SA_0000001413,COUNTRY,SVN,EUR,Europe,YEAR,2000,SEX,SEX_FMLE,,,,,,,65.2 [63.4 - 67.0],65.1830482,63.4240942,66.9745238,,2024-06-20T14:10:27Z,2000,2000-01-01,2000-12-31
16334,SA_0000001413,COUNTRY,URY,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,,,,,,,60.4 [58.0 - 62.9],60.3547904,57.9552488,62.934947,,2024-06-20T14:10:27Z,2011,2011-01-01,2011-12-31
16906,SA_0000001413,COUNTRY,NIC,AMR,Americas,YEAR,2004,SEX,SEX_FMLE,,,,,,,30.0 [27.5 - 32.3],29.9763359,27.5453848,32.348499,,2024-06-20T14:10:27Z,2004,2004-01-01,2004-12-31
20332,SA_0000001413,COUNTRY,DEU,EUR,Europe,YEAR,2018,SEX,SEX_BTSX,,,,,,,79.3 [78.2 - 80.4],79.3131146,78.2416326,80.4172247,,2024-06-20T14:10:27Z,2018,2018-01-01,2018-12-31
23260,SA_0000001413,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2002,SEX,SEX_FMLE,,,,,,,24.8 [22.4 - 27.2],24.7760786,22.4082528,27.2468678,,2024-06-20T14:10:27Z,2002,2002-01-01,2002-12-31
25241,SA_0000001413,COUNTRY,RWA,AFR,Africa,YEAR,2020,SEX,SEX_BTSX,,,,,,,33.5 [31.1 - 35.8],33.4530993,31.0616647,35.7992831,,2024-06-20T14:10:27Z,2020,2020-01-01,2020-12-31
28514,SA_0000001413,COUNTRY,BDI,AFR,Africa,YEAR,2015,SEX,SEX_MLE,,,,,,,46.3 [43.5 - 49.0],46.259099,43.497915,48.9728074,,2024-06-20T14:10:27Z,2015,2015-01-01,2015-12-31
30073,SA_0000001413,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2009,SEX,SEX_FMLE,,,,,,,25.8 [23.5 - 28.3],25.845347,23.4904398,28.2992458,,2024-06-20T14:10:27Z,2009,2009-01-01,2009-12-31
30128,SA_0000001413,COUNTRY,ALB,EUR,Europe,YEAR,2008,SEX,SEX_FMLE,,,,,,,39.9 [35.0 - 45.6],39.9057429,35.0330277,45.5983882,,2024-06-20T14:10:27Z,2008,2008-01-01,2008-12-31
31190,SA_0000001413,COUNTRY,ESP,EUR,Europe,YEAR,2018,SEX,SEX_FMLE,,,,,,,71.5 [70.2 - 72.8],71.530941,70.2458383,72.8121376,,2024-06-20T14:10:27Z,2018,2018-01-01,2018-12-31
31433,SA_0000001413,COUNTRY,BOL,AMR,Americas,YEAR,2008,SEX,SEX_FMLE,,,,,,,56.0 [54.4 - 57.7],56.0381482,54.3982037,57.6551163,,2024-06-20T14:10:27Z,2008,2008-01-01,2008-12-31
